Time (minutes),Intensity at 450 nm
2.5,0.000119218
5,9.62E-05
7.5,7.96E-05
10,6.43E-05
12.5,6.82E-05
15,6.82E-05
17.5,6.80E-05
20,6.86E-05
22.5,6.94E-05
25,7.04E-05
27.5,7.05E-05
30,7.18E-05
32.5,7.25E-05
35,7.54E-05
37.5,7.77E-05
40,8.09E-05
42.5,8.17E-05
45,8.48E-05
47.5,8.70E-05
50,8.99E-05
52.5,9.06E-05
55,9.24E-05
57.5,9.31E-05
60,9.48E-05
62.5,9.58E-05
65,9.71E-05
67.5,9.74E-05
70,9.80E-05
72.5,9.81E-05
75,9.85E-05
77.5,9.88E-05
80,9.88E-05
82.5,9.85E-05
85,9.82E-05
87.5,9.82E-05
90,9.74E-05
92.5,9.66E-05
95,9.56E-05
97.5,9.48E-05
100,9.61E-05
102.5,9.84E-05
105,9.98E-05
107.5,9.91E-05
110,9.92E-05
112.5,9.95E-05
115,9.97E-05
117.5,9.94E-05
120,9.96E-05
122.5,0.000100022
125,0.000100159
127.5,9.99E-05
130,0.000100023
132.5,0.000100434
135,0.000100591
137.5,0.000100287
140,0.00010061
142.5,0.000101262
145,0.000101537
147.5,0.000101084
150,0.000101516
152.5,0.00010245
155,0.000102697
157.5,0.000101979
160,0.000102082
162.5,0.000102833
165,0.000103038
167.5,0.000102678
170,0.000102178
172.5,0.000101899
175,0.000101412
177.5,0.000100732
180,0.000102309
182.5,0.000104689
185,0.000107315
187.5,0.000108015
190,0.000109002
192.5,0.000108875
195,0.000109554
197.5,0.000110094
200,0.000111301
202.5,0.000112037
205,0.000113093
207.5,0.000113239
210,0.000114487
212.5,0.000115476
215,0.00011695
217.5,0.000117389
220,0.000118787
222.5,0.000119724
225,0.000120677
227.5,0.000120638
230,0.00012105
232.5,0.000121426
235,0.000121454
237.5,0.000120463
240,0.000122664
242.5,0.000126058
245,0.00012889
247.5,0.000128668
250,0.000129827
252.5,0.000130664
255,0.000131939
257.5,0.000132537
260,0.000132866
262.5,0.000132466
265,0.000132267
267.5,0.000132478
270,0.000131779
272.5,0.000131077
275,0.000129274
277.5,0.000127405
280,0.000128166
282.5,0.000131075
285,0.00013303
287.5,0.000132702
290,0.000132689
292.5,0.000132506
295,0.000132513
297.5,0.000132707
300,0.000132714
302.5,0.000132598
305,0.000132317
307.5,0.000132082
310,0.000131883
312.5,0.000132006
315,0.000131609
317.5,0.000131241
320,0.000130165
322.5,0.000129506
325,0.000127908
327.5,0.00012625
330,0.000127539
332.5,0.000130735
335,0.000133485
337.5,0.000133759
340,0.000134171
342.5,0.000133759
345,0.00013389
347.5,0.000134361
350,0.00013445
352.5,0.000134153
355,0.000133831
357.5,0.000133703
360,0.000133484
362.5,0.000133415
365,0.000133278
367.5,0.000133466
370,0.000132431
372.5,0.000131189
375,0.000129674
377.5,0.000128671
380,0.000130097
382.5,0.000132925
385,0.000135222
387.5,0.000135169
390,0.000135662
392.5,0.000135786
395,0.000136006
397.5,0.000136119
400,0.00013592
402.5,0.000135546
405,0.000135244
407.5,0.000135501
410,0.000134459
412.5,0.000133193
415,0.000131623
417.5,0.000131262
420,0.000129911
422.5,0.000128312
425,0.000130067
427.5,0.000133826
430,0.000136487
432.5,0.000135962
435,0.000136346
437.5,0.000136697
440,0.000136909
442.5,0.000136783
445,0.000136707
447.5,0.000136792
450,0.000136319
452.5,0.000135831
455,0.000134837
457.5,0.000134526
460,0.000132558
462.5,0.0001307
465,0.000129219
467.5,0.000128867
470,0.000131281
472.5,0.000134797
475,0.000137299
477.5,0.000136767
480,0.000136603
482.5,0.000136483
485,0.000135654
487.5,0.000135043
490,0.000133425
492.5,0.000132456
495,0.000130433
497.5,0.000128513
500,0.000130227
502.5,0.00013441
505,0.000137098
507.5,0.000136179
510,0.000136639
512.5,0.000137555
515,0.000137479
517.5,0.000136419
520,0.00013611
522.5,0.000136895
525,0.000136326
527.5,0.000135343
530,0.000133218
532.5,0.000131225
535,0.00013165
537.5,0.000134165
540,0.000136613
542.5,0.000137363
545,0.000137747
547.5,0.000136941
550,0.000136893
552.5,0.000137525
555,0.000137566
557.5,0.000137158
560,0.000136541
562.5,0.000136313
565,0.000135319
567.5,0.000134617
570,0.000133321
572.5,0.000132773
575,0.000131422
577.5,0.000130034
580,0.000131419
582.5,0.000134451
585,0.000137077
587.5,0.000137293
590,0.0001378
592.5,0.000137753
595,0.000137328
597.5,0.000136745
600,0.000136347
602.5,0.000136645
605,0.000135959
607.5,0.000135102
610,0.000133854
612.5,0.000133466
615,0.00013206
617.5,0.000130434
620,0.000131771
622.5,0.000134991
625,0.000137597
627.5,0.000137619
630,0.000138079
632.5,0.000138059
635,0.000138046
637.5,0.000137943
640,0.000137895
642.5,0.000137889
645,0.000138067
647.5,0.00013835
650,0.000138302
652.5,0.00013793
655,0.000137834
657.5,0.000138053
660,0.000138169
662.5,0.000138018
665,0.000138505
667.5,0.000139246
670,0.000139527
672.5,0.000139142
675,0.000138826
677.5,0.00013871
680,0.000138649
682.5,0.000138866
685,0.000138427
687.5,0.000137681
690,0.000137372
692.5,0.000137757
695,0.000137894
697.5,0.000137846
700,0.000137585
702.5,0.000137341
705,0.000137039
