Time (minutes),Intensity at 450 nm
2.5,0.000197107
5,0.000141714
7.5,0.000101913
10,6.54E-05
12.5,7.51E-05
15,7.53E-05
17.5,7.49E-05
20,7.48E-05
22.5,7.50E-05
25,7.51E-05
27.5,7.49E-05
30,7.51E-05
32.5,7.56E-05
35,7.59E-05
37.5,7.58E-05
40,7.57E-05
42.5,7.55E-05
45,7.57E-05
47.5,7.61E-05
50,7.64E-05
52.5,7.64E-05
55,7.62E-05
57.5,7.59E-05
60,7.59E-05
62.5,7.62E-05
65,7.62E-05
67.5,7.61E-05
70,7.62E-05
72.5,7.64E-05
75,7.67E-05
77.5,7.70E-05
80,7.71E-05
82.5,7.68E-05
85,7.71E-05
87.5,7.76E-05
90,7.81E-05
92.5,7.77E-05
95,7.90E-05
97.5,8.05E-05
100,8.23E-05
102.5,8.28E-05
105,8.40E-05
107.5,8.45E-05
110,8.54E-05
112.5,8.54E-05
115,8.73E-05
117.5,8.92E-05
120,9.22E-05
122.5,9.35E-05
125,9.50E-05
127.5,9.52E-05
130,9.45E-05
132.5,9.33E-05
135,9.21E-05
137.5,9.19E-05
140,9.12E-05
142.5,9.07E-05
145,9.03E-05
147.5,9.04E-05
150,9.05E-05
152.5,9.05E-05
155,9.08E-05
157.5,9.14E-05
160,9.14E-05
162.5,9.08E-05
165,9.06E-05
167.5,9.09E-05
170,9.08E-05
172.5,9.04E-05
175,9.02E-05
177.5,9.03E-05
180,9.02E-05
182.5,9.01E-05
185,8.98E-05
187.5,8.96E-05
190,8.95E-05
192.5,8.94E-05
195,8.96E-05
197.5,8.98E-05
200,9.01E-05
202.5,9.04E-05
205,9.06E-05
207.5,9.06E-05
210,9.08E-05
212.5,9.09E-05
215,9.07E-05
217.5,9.02E-05
220,9.03E-05
222.5,9.09E-05
225,9.13E-05
227.5,9.09E-05
230,9.22E-05
232.5,9.39E-05
235,9.54E-05
237.5,9.54E-05
240,9.58E-05
242.5,9.59E-05
245,9.61E-05
247.5,9.63E-05
250,9.68E-05
252.5,9.72E-05
255,9.73E-05
257.5,9.68E-05
260,9.70E-05
262.5,9.75E-05
265,9.79E-05
267.5,9.77E-05
270,9.79E-05
272.5,9.82E-05
275,9.82E-05
277.5,9.78E-05
280,9.80E-05
282.5,9.85E-05
285,9.89E-05
287.5,9.90E-05
290,9.93E-05
292.5,9.94E-05
295,9.95E-05
297.5,9.94E-05
300,9.96E-05
302.5,9.99E-05
305,9.96E-05
307.5,9.89E-05
310,9.83E-05
312.5,9.83E-05
315,9.82E-05
317.5,9.85E-05
320,9.84E-05
322.5,9.82E-05
325,9.84E-05
327.5,9.91E-05
330,9.90E-05
332.5,9.84E-05
335,9.78E-05
337.5,9.75E-05
340,9.74E-05
342.5,9.75E-05
345,9.77E-05
347.5,9.81E-05
350,9.79E-05
352.5,9.74E-05
355,9.73E-05
357.5,9.71E-05
360,9.93E-05
362.5,0.000103033
