Time (minutes),Intensity at 450 nm
2.5,0.000107602
5,9.37E-05
7.5,8.41E-05
10,7.59E-05
12.5,7.82E-05
15,8.29E-05
17.5,8.76E-05
20,9.44E-05
22.5,9.72E-05
25,0.000101342
27.5,0.000102096
30,0.000104126
32.5,0.000104865
35,0.000106291
37.5,0.00010675
40,0.000108011
42.5,0.000108734
45,0.000109735
47.5,0.000109929
50,0.000110676
52.5,0.000111001
55,0.00011216
57.5,0.000113022
60,0.000114092
62.5,0.000114275
65,0.000114995
67.5,0.000115436
70,0.00011595
72.5,0.000115947
75,0.000116393
77.5,0.000116772
80,0.000117279
82.5,0.000117314
85,0.000118089
87.5,0.000118917
90,0.000119349
92.5,0.000118913
95,0.000119016
97.5,0.000119411
100,0.000119726
102.5,0.000119648
105,0.000120066
107.5,0.000120475
110,0.000121209
112.5,0.000121505
115,0.000122424
117.5,0.00012303
120,0.000123894
122.5,0.000124109
125,0.000124802
127.5,0.000125062
130,0.000126221
132.5,0.000127076
135,0.000128489
137.5,0.000128988
140,0.000130414
142.5,0.000131113
145,0.000132991
147.5,0.000134115
150,0.000136049
152.5,0.000136737
155,0.000138568
157.5,0.000139751
160,0.000140705
162.5,0.000139533
165,0.000143057
167.5,0.000147695
170,0.000152851
172.5,0.000153784
175,0.000157199
177.5,0.000158942
180,0.000162433
182.5,0.000163835
185,0.000167614
187.5,0.00016971
190,0.000173633
192.5,0.000175284
195,0.00017874
197.5,0.000180224
200,0.000183344
202.5,0.000184732
205,0.000187468
207.5,0.000188475
210,0.000191279
212.5,0.000192933
215,0.000195449
217.5,0.000196353
220,0.000197581
222.5,0.000197785
225,0.000197791
227.5,0.000197378
230,0.000197115
232.5,0.000196886
