q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min,370 min,375 min,380 min,385 min,390 min,395 min,400 min,405 min,410 min,415 min,420 min,425 min,430 min,435 min,440 min,445 min,450 min,455 min,460 min,465 min,470 min,475 min,480 min,485 min,490 min,495 min,500 min,505 min,510 min,515 min,520 min,525 min,530 min,535 min,540 min,545 min,550 min,555 min,560 min,565 min,570 min,575 min,580 min,585 min,590 min,595 min,600 min,605 min,610 min,615 min,620 min,625 min,630 min,635 min,640 min,645 min,650 min,655 min,660 min,665 min,670 min,675 min,680 min,685 min,690 min,695 min,700 min,705 min
0.00327202,1.76750725,1.92354739,1.90053947,1.8449901,1.86890983,2.35887186,2.90810614,2.91978217,2.67301001,3.03332248,3.11159021,3.3372317,3.37856765,3.7734056,3.91738917,3.71708215,3.81671724,3.60556802,4.01886328,4.00584405,3.75989774,4.47671363,4.0560564,4.24904736,3.9930857,4.51865973,4.82052344,4.56173259,4.89839297,4.42775436,4.49940434,4.48208939,5.14623765,5.1694937,5.06983676,5.03909472,5.47754243,5.73952657,6.36547557,6.52133891,6.65527371,7.15633265,7.25329326,7.55525385,7.5702561,8.05809138,8.00041765,8.15102755,8.05076079,7.97854899,8.00945447,7.81276248,7.61526393,7.73584316,7.39332938,7.61970397,7.29750476,7.48507389,7.14560967,7.46469088,7.38847082,7.84034488,8.07651244,7.76591442,7.87941816,8.0482969,8.66206749,8.25943739,8.671239,8.51250125,8.74319427,8.35449262,8.68420991,8.53283696,8.71053935,8.50572523,8.65997115,8.33570615,8.31744899,8.14409981,8.46442673,8.90063803,8.44081832,8.90552211,8.31102493,8.62099869,8.50379975,8.42492295,8.49096135,8.63098595,8.83721577,8.54919467,9.08596785,8.34128575,8.83266708,8.72607336,8.5694769,8.88709607,9.22094146,8.75786241,8.72500405,8.50307857,8.17949663,8.88800809,8.65954675,8.79710644,8.90662229,8.48548208,8.97827809,8.7232794,8.84391003,8.73012186,8.64006268,8.84888899,8.7086944,8.41373997,8.5734343,8.60473657,8.83662402,8.57936374,8.91106979,8.44905696,8.92240344,8.73888154,8.79959652,8.92018874,8.94379122,8.44355708,8.75752473,8.43640433,8.54747023,8.50276001,8.97051415,8.68802398,8.89709544,8.49465814,9.0976715,9.21891119,9.25727134,9.19906148,8.15492638
0.00371214,1.62855397,1.66882443,1.66666842,1.76240584,1.75232129,2.19089821,2.57775399,2.49112709,1.91126999,2.06139856,1.93030919,2.06478005,2.16023431,2.1306508,2.19689488,2.26590317,2.648341,2.42196495,2.56827493,2.50607583,2.43897812,2.48149014,2.60451129,2.43059895,2.75947073,2.59846032,2.89993875,2.63566145,2.65541266,2.87445166,2.89514155,2.83522877,3.01610775,3.20862138,3.09171904,3.39679254,3.5491526,3.67567359,3.79073417,3.81221903,4.07603835,4.40370757,4.69207013,4.57001842,4.59451803,4.72097393,4.69529432,4.46619115,4.79855907,4.6622857,4.71099544,4.52526085,4.56294566,4.51338188,4.78158608,4.48180413,4.7950255,4.52661516,4.82397394,4.78557321,4.94000908,5.44858281,5.40074792,5.60601004,5.43733695,5.76275342,5.6106469,5.91283077,5.63496968,5.75475412,5.82668142,5.80180756,5.72119566,5.87747894,6.11172475,5.89867408,5.84409895,5.92642955,5.92875926,5.81064922,5.90862013,5.79066595,6.36891259,6.01649359,5.94574566,5.86729936,5.89676515,5.92096114,6.03364048,6.07191784,5.78732929,6.01190215,5.83485854,6.01763327,5.84966262,5.8783145,5.99038997,6.18184169,6.22611977,5.72861135,6.10535631,6.38366158,6.03560352,5.94678441,6.03184718,5.97845161,6.07862793,6.14341029,6.14547048,6.27639635,6.19475061,6.13276935,6.01466783,6.17364035,5.95699425,6.06829608,6.03402133,6.17430761,5.91996984,6.0060545,6.36427794,6.07935373,6.14965357,6.14727446,6.07412459,6.20141436,6.20998638,6.08121951,5.99838838,6.12748574,6.10187549,5.96754553,5.98751415,6.16290664,6.04206023,5.95728721,6.123657,5.96393731,6.31368644,6.2519468,5.99596996
0.00416524,1.38865724,1.43319424,1.46982705,1.33494384,1.41242953,1.86042762,2.23516766,2.08400544,1.52189356,1.46358401,1.43790739,1.33395717,1.39909386,1.42116993,1.49320994,1.48020364,1.43062518,1.5765703,1.57258631,1.63906456,1.61208578,1.61039925,1.63953167,1.62395231,1.647838,1.76713886,1.68490469,1.69253641,1.8529325,1.81327548,1.84702687,1.89417934,1.92392969,1.95478647,2.1253193,2.11919455,2.13012807,2.28614601,2.47261824,2.64869049,2.64493454,2.71413468,3.018997,2.91074079,3.00069303,2.9409158,3.12210442,2.95347179,2.89023306,3.01883493,3.06275791,2.95539257,3.10158399,2.97855821,2.96999021,3.26433927,3.20557627,3.18979974,3.40360501,3.52371729,3.73524248,3.98446808,4.02165015,4.26834407,4.32397933,4.42701867,4.33364504,4.54296785,4.25023145,4.43283215,4.32587718,4.53770589,4.56832707,4.43016355,4.59581527,4.49711265,4.47707532,4.44682599,4.44974992,4.44053295,4.44496809,4.52687157,4.43187437,4.48520441,4.38864659,4.62329534,4.44981093,4.46548164,4.46614785,4.65865155,4.52110106,4.53678296,4.80797759,4.6602869,4.81704776,4.41491124,4.40288216,4.53215513,4.67853144,4.63030329,4.4719202,4.54799179,4.63606397,4.72509237,4.78513434,4.51936158,4.69870694,4.66239013,4.76397752,4.70768641,4.57839388,4.64839499,4.55093403,4.53908639,4.59407091,4.60606642,4.70021026,4.81936646,4.66248691,4.60196066,4.532483,4.49038584,4.47070062,4.73860321,4.63706172,4.71170631,4.7310384,4.51702638,4.55068316,4.89259265,4.54045638,4.88456946,4.58878833,4.51568542,4.69180824,4.54864691,4.77963308,4.67976247,4.73062432,4.67450249,4.47014238
0.00464451,1.18951364,1.30153314,1.27673713,1.32624333,1.50647694,1.62721412,2.05621653,1.89987321,1.29605712,1.0904326,1.06804985,1.14437932,1.16062711,1.04654006,1.06619219,1.11870451,1.09867646,1.10625159,1.15582445,1.24656395,1.14732109,1.14412793,1.21276925,1.22865644,1.16049544,1.17173131,1.16883143,1.28211321,1.27632334,1.23236392,1.28874651,1.38441823,1.43737145,1.40875498,1.43543081,1.5028372,1.68904839,1.61877848,1.74340219,1.90973321,1.91638224,2.01623038,2.14489857,2.02639446,2.15823966,2.14345615,2.17369108,2.18125621,2.16342338,2.12727317,2.1779761,2.25929461,2.1963574,2.33093418,2.25605679,2.45708749,2.42109868,2.60933605,2.78916199,2.86719644,2.90134123,3.17965132,3.28508443,3.35048036,3.36311881,3.45463882,3.49229435,3.59236859,3.71527898,3.60272045,3.65611187,3.72930232,3.61210205,3.75378403,3.61497059,3.56539676,3.6904577,3.6951319,3.86963989,3.93073676,3.79641942,3.71751603,3.70178916,3.7319969,3.68423226,3.69530322,3.7181657,3.62513395,3.66703383,3.79951228,3.65734268,3.69877283,3.79102041,3.67962326,3.71919867,3.64965804,3.74567978,3.7865697,3.79344921,3.63689311,3.75412967,3.87643041,3.64357474,3.80542391,3.85679835,3.74144,3.74849974,3.9945394,3.74627881,3.58292171,3.85981646,3.78083749,3.88438902,3.82506385,3.72174406,3.64689208,3.75414612,3.78412965,3.88085963,3.6342069,3.89128844,3.80351547,3.79502479,3.90170742,3.6876593,3.77257624,3.63548771,3.74566813,3.74724522,3.78753854,3.69634317,3.78794723,3.73709754,3.84523489,3.78614834,3.70792334,3.75580849,3.80776219,3.81359996,3.65531913,3.68954109
0.00511224,1.07779099,1.14483806,1.14921503,1.20713606,1.32960785,1.5588648,1.78580956,1.58116792,1.12227835,0.9482771,0.82500813,0.80755581,0.88018965,0.88517897,0.86492405,0.88620517,0.81908273,0.88198357,0.82704588,0.85669323,0.79158196,0.94856214,0.87598249,0.87133702,0.86333004,0.84910871,0.90081934,0.91970167,0.91931893,0.9593062,0.97548522,0.98965903,1.1178472,1.03869103,1.14847974,1.10753886,1.21692434,1.27066672,1.35613563,1.39970049,1.40070271,1.49086451,1.68067491,1.56694151,1.62914288,1.75506326,1.64203012,1.72076956,1.76124263,1.65082634,1.8029563,1.75020044,1.74038994,1.79675191,1.97198575,2.03283633,2.00030039,2.16620248,2.18943929,2.32272362,2.47128386,2.57589769,2.68681924,2.72821999,2.87841844,2.99369741,2.95311631,2.97572523,3.01760009,3.09632208,3.00194488,3.07347432,3.0525775,3.08897371,3.08575223,3.16247588,3.11300912,3.20096505,3.10628664,3.04155594,3.17002463,3.12475356,3.11324436,3.17947264,3.15025585,3.16921084,3.10915907,3.07518576,3.12346702,3.15250377,3.06921794,3.13138064,3.09654771,3.11104094,3.11982484,3.23104955,3.12506515,3.22996993,3.24618261,3.26413825,3.2818674,3.07021267,3.15592497,3.14536834,3.07340853,3.08424249,3.07902702,3.1864512,3.21711733,3.18507684,3.25260564,3.18059771,3.13103613,3.27972967,3.13033975,3.27193269,3.1144762,3.15183387,3.10957716,3.17651963,3.11490403,3.13618048,3.16722072,3.20059333,3.17217572,3.12557746,3.23560712,3.17144749,3.25369969,3.2818586,3.14324516,3.28648548,3.30035641,3.11482291,3.10530677,3.08622464,3.20897314,3.22030807,3.19333261,3.21650888,3.08152294
0.00556298,1.04162305,1.08007604,1.05064537,1.14478545,1.26484921,1.42641557,1.6890036,1.42927848,1.06571943,0.79560773,0.79002558,0.71467666,0.72167682,0.80984934,0.71298989,0.68657892,0.73830492,0.77548513,0.7145053,0.7600184,0.70950072,0.79761228,0.76896378,0.70204521,0.66947149,0.70612628,0.72730441,0.7576377,0.7984551,0.7921956,0.80400907,0.79203708,0.90933212,0.87575772,0.878532,0.96864805,1.04760351,1.0980693,1.11785102,1.20320001,1.21683574,1.24743174,1.3432661,1.34449607,1.40494815,1.40365206,1.50388431,1.34219863,1.49209618,1.51216445,1.50605888,1.61433944,1.5324388,1.5724128,1.68855982,1.79748626,1.79597726,1.91643643,2.01895505,2.12801789,2.22286227,2.35637278,2.42670748,2.44221006,2.42962139,2.58759669,2.68620135,2.6563511,2.66407748,2.76654737,2.80748845,2.71744001,2.69098685,2.77477774,2.72024819,2.69350516,2.78507956,2.74335831,2.69506828,2.73450896,2.69768549,2.78161809,2.80837262,2.7800553,2.65811522,2.649297,2.78284394,2.70890953,2.77327918,2.71128067,2.71008226,2.73999369,2.79562144,2.77852265,2.79521759,2.77285478,2.76552514,2.75702091,2.74480678,2.82107574,2.75074896,2.86183232,2.7547483,2.78126228,2.83189759,2.77288326,2.91529268,2.84451218,2.81027225,2.85078545,2.80310042,2.77915777,2.81829985,2.78770245,2.8009128,2.71537729,2.77919152,2.79884565,2.75736831,2.75197566,2.79069653,2.73151046,2.82596608,2.87507801,2.89793666,2.82622772,2.77586223,2.88991734,2.74730686,2.87212283,2.76986542,2.88123267,2.78738713,2.71844416,2.76658853,2.76421109,2.76124851,2.74742373,2.87677719,2.83430482,2.89803117
0.0059919,0.86982585,0.93936126,0.97140887,1.06246536,1.05629167,1.23492031,1.61389086,1.39015121,0.92321815,0.74609597,0.66849961,0.59313941,0.62713553,0.66042742,0.61202371,0.57502739,0.55403176,0.62830169,0.62205776,0.60377527,0.55940837,0.61235464,0.60512072,0.59311742,0.60489239,0.65987246,0.63382698,0.62555783,0.61337843,0.65968637,0.69444423,0.75772798,0.81080898,0.80328079,0.82718812,0.8429235,0.91400136,0.94743195,0.95489168,1.01654349,1.04969141,1.12118617,1.15031279,1.1761954,1.16104942,1.20378862,1.30290977,1.25880734,1.23734634,1.25073154,1.34125667,1.33164378,1.34119798,1.41440401,1.52654793,1.60905762,1.63941198,1.65089256,1.77543683,1.83270255,1.92870197,1.99990179,2.1294248,2.29375448,2.20762836,2.31788932,2.3837011,2.35980509,2.40113127,2.35642817,2.4286091,2.40284866,2.50913362,2.46098598,2.42538052,2.38115491,2.36612919,2.49973864,2.36953943,2.45290517,2.44966785,2.38789265,2.53075715,2.41011544,2.3640267,2.54699445,2.42397942,2.40207019,2.38815035,2.40796379,2.4489282,2.50777544,2.53888075,2.48213723,2.48250769,2.43150064,2.5139887,2.43560369,2.43870334,2.49103622,2.52064453,2.62005874,2.47751116,2.46360686,2.48424264,2.50619965,2.49439838,2.48650548,2.45846122,2.47616468,2.5381545,2.37485471,2.53313085,2.41356787,2.43899524,2.51133711,2.47877012,2.49244737,2.5711575,2.46372281,2.46322712,2.40298957,2.492548,2.55579662,2.49015552,2.46850432,2.47064377,2.56389678,2.43022565,2.47932922,2.52114026,2.50794575,2.44712097,2.53335757,2.51727006,2.50343214,2.53473987,2.553453,2.49928108,2.57544706,2.51764596
0.006401,0.87272515,0.88092151,0.96552488,0.98810194,1.0528659,1.21530597,1.44699558,1.24509225,0.92200851,0.63861875,0.66248692,0.62643032,0.51817208,0.51180384,0.52360803,0.49255146,0.55485822,0.54555997,0.56635162,0.55352115,0.57682375,0.58308607,0.52239496,0.51878119,0.49907368,0.55818822,0.54475054,0.56458901,0.56398317,0.59693597,0.59728839,0.58329195,0.59146081,0.71788568,0.72345897,0.75651974,0.77026555,0.82618265,0.95457159,0.91969287,0.9331159,1.06707606,1.04111348,1.0806791,1.07823945,0.98607236,1.1180676,1.14264709,1.130206,1.12900883,1.244453,1.23933986,1.30367794,1.34743159,1.36427516,1.35990422,1.5206764,1.563944,1.61842387,1.75891928,1.69851461,1.8950714,1.86003448,1.98953709,2.02446071,2.12661559,2.13410133,2.1009139,2.13560895,2.19800508,2.17587771,2.07399299,2.18070208,2.24702246,2.18778078,2.14219508,2.12289951,2.24724681,2.26608261,2.1989866,2.24988912,2.27003853,2.20378415,2.20161733,2.13422722,2.31973879,2.25798326,2.24570571,2.25126553,2.27734295,2.27394841,2.2624623,2.19987205,2.31483263,2.22512617,2.31227799,2.2635623,2.27071171,2.23360526,2.33506152,2.256208,2.30047642,2.28458312,2.17943483,2.27109861,2.20059261,2.2033742,2.16460032,2.34304713,2.27445413,2.32075834,2.38279944,2.28226649,2.21773266,2.26322306,2.30591106,2.22532314,2.19599162,2.26386465,2.25856102,2.31268067,2.26407337,2.29195367,2.31581956,2.34645576,2.33075523,2.39017631,2.30064571,2.26982197,2.30749541,2.28287354,2.33384796,2.31155932,2.28962272,2.22746937,2.36316131,2.35936742,2.3242532,2.35212026,2.27880991,2.24168187
0.00684417,0.81235164,0.85032655,0.87277591,0.89532691,0.91944565,1.08069406,1.48535981,1.25396477,0.79366716,0.64025625,0.57059232,0.52448196,0.51657835,0.49968007,0.51170289,0.51778539,0.48157699,0.47941513,0.50266991,0.50535025,0.51039769,0.46729606,0.50541804,0.51680945,0.51170101,0.47551505,0.50601803,0.52588043,0.5432944,0.57876008,0.52021821,0.56180151,0.56499313,0.62629958,0.6416655,0.63667534,0.70696721,0.71734988,0.78440035,0.81275877,0.86571402,0.88022109,0.9034905,0.9258971,0.96392704,1.00360612,1.00545726,1.05398549,1.03700459,1.0521649,1.14392868,1.13018497,1.18144968,1.22978297,1.22465826,1.31506515,1.40657323,1.45373463,1.53811899,1.54125756,1.59893638,1.78898495,1.76127146,1.78303626,1.83194581,1.91710536,1.9925338,1.94543397,1.92366076,1.98652597,2.0228089,1.99893167,2.01319087,2.03197165,1.9757191,2.06380865,2.01881525,2.0865762,2.02258568,1.99078428,2.11427188,2.09839059,1.97244474,2.12297476,1.98549654,2.07854795,2.06524952,1.99901158,2.07084308,2.06527447,2.02864746,2.04181561,2.01609145,1.98111398,2.07427541,2.04386641,1.99109609,2.10575501,2.07129444,2.0871836,2.12547471,2.12093208,2.08056829,2.09217162,2.03706739,2.069633,2.03450335,2.04421468,2.06334014,2.05869687,2.04583822,2.00322109,2.046123,2.02524881,2.05870717,2.09472211,2.13106625,2.06353158,2.06831788,2.08127401,2.05929068,2.11731439,2.00473854,2.08671648,2.09441133,2.10667173,2.14170561,2.10169812,2.08176616,2.00965645,2.03221961,2.0987272,2.08445916,2.06184445,2.11340426,2.02769613,2.1246614,2.13621989,2.13660737,2.07208821,2.24914347
0.00729725,0.78250024,0.75428821,0.79474679,0.7828609,0.92395895,1.06246499,1.30532628,1.17571531,0.78234277,0.60318494,0.58758887,0.48466859,0.50591649,0.4646065,0.46352957,0.46547281,0.47222732,0.43505171,0.44809102,0.42616696,0.44293541,0.50470814,0.43467508,0.48814059,0.44691975,0.47905806,0.52275861,0.47128997,0.49133708,0.46880487,0.53666059,0.46771231,0.52258846,0.54491501,0.55139748,0.63077611,0.61545151,0.65494782,0.7404453,0.81706874,0.77479113,0.81100461,0.86230876,0.84370226,0.92612569,0.86931044,0.93285444,0.98498585,1.00692746,0.98795703,0.98987323,1.10351857,1.13330259,1.12104002,1.16237959,1.24940797,1.20469933,1.28476351,1.40108088,1.43217759,1.51809136,1.53732321,1.57921027,1.75407174,1.72626289,1.79388957,1.81195475,1.84696007,1.84053522,1.75493708,1.78132691,1.79717699,1.81235961,1.86962987,1.83687125,1.83803217,1.92723355,1.83522522,1.82178637,1.82911808,1.83323231,1.75783737,1.87770447,1.89537034,1.87769869,1.82092197,1.78753108,1.86472799,1.80454865,1.85619777,1.90866741,1.87729501,1.89649515,1.84382868,1.85876486,1.88494572,1.87217343,1.8820645,1.93900741,1.85630828,1.8778401,1.9020205,1.81498682,1.89732988,1.90269473,1.88679466,1.92859766,1.91193017,1.8979123,1.84977506,1.89155391,1.89342336,1.81547703,1.95072349,1.86608517,1.88035567,2.00332829,1.93782515,1.91235083,1.86246262,1.93385713,1.92667355,1.83530557,1.95428867,1.91937918,1.91731051,1.90451188,1.82455803,1.9307115,1.96667726,1.89880832,1.8981681,1.91296363,1.92447075,1.87615794,1.80126649,1.90045332,1.9639225,1.96934235,1.87973354,1.98076738
