q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min,370 min,375 min,380 min,385 min,390 min,395 min,400 min,405 min,410 min,415 min,420 min,425 min,430 min,435 min,440 min,445 min,450 min,455 min,460 min,465 min,470 min,475 min,480 min,485 min,490 min,495 min,500 min,505 min,510 min,515 min,520 min,525 min,530 min,535 min,540 min,545 min,550 min,555 min,560 min,565 min,570 min,575 min,580 min,585 min,590 min,595 min,600 min,605 min,610 min,615 min,620 min,625 min,630 min,635 min,640 min,645 min,650 min,655 min,660 min,665 min,670 min,675 min,680 min
0.00327202,3.78711079,3.97791028,4.42177222,4.29610727,4.50676724,5.26998563,7.12913387,6.28225757,5.52184263,5.13836148,5.07128354,5.45265971,5.99287668,5.66551869,6.03007892,6.50783809,6.38003273,6.42100853,6.95739024,6.98987097,6.73124984,7.31344702,7.3725881,7.23119787,7.61195138,7.35036651,7.62233926,7.98042049,7.78491859,7.30263456,7.755628,8.35483613,7.9614626,8.45922224,8.90065232,9.36857131,10.0822549,10.53750467,10.69261201,11.71024932,11.64471505,12.77772017,12.93055764,13.29053835,13.6882659,13.85157429,14.01947213,14.47654019,13.50843392,13.2214335,12.64734056,12.7705998,11.51710916,11.38538556,11.66092535,11.43599368,11.46441441,11.98112203,11.66262784,11.88983748,12.53422532,11.65788796,12.07477795,11.98099909,12.12561504,12.39187749,12.12092087,12.47196197,12.40902556,12.3233151,12.09416742,12.03699464,12.36126632,12.24248358,12.52408628,12.77993107,12.48114192,12.1962223,11.98006129,11.88679313,12.21058267,12.35351438,12.33694603,11.99265891,12.16780008,12.23262563,12.14943928,12.80547064,12.51200171,12.62783471,12.32005155,12.63886492,12.12877012,12.38908792,12.60612185,12.54781972,12.32492144,12.61295873,12.93382894,12.39089833,12.46492793,12.79875945,12.62475786,12.86750822,12.71849356,12.3096613,12.76635679,12.39611347,12.64634538,12.62972624,12.39155295,12.75569262,12.87970226,12.63166107,12.74184499,12.54683799,12.22800645,12.58961239,12.2823289,12.8815749,12.50063663,12.71740516,11.83185798,12.66520384,12.65643406,12.92483179,12.27248756,12.60206477,12.59803403,12.70035025,12.90243236,12.93784775,12.47653544,12.60719901,12.62396127,10.66359906
0.00371214,2.87268435,3.32883228,3.51131961,3.8109375,4.08797586,4.91523767,5.92700512,4.86798718,4.21442227,3.71800427,3.72287133,3.65638004,3.75842019,3.86177844,3.95708837,3.95489613,4.164938,4.22870823,4.06686567,4.28406365,4.22464941,4.52458349,4.52976048,4.27832135,4.56446492,4.45192534,4.73554525,4.63451201,4.72354181,4.79774055,4.97685489,4.93104577,5.36332753,5.3753917,5.44695438,5.50332932,6.17074182,6.41401373,7.13777312,7.08922129,7.46330027,7.93493672,8.21183663,7.98870719,8.29202812,8.68302631,8.54918518,8.56596717,8.17351804,8.0789757,7.8278328,8.05214712,7.53789539,7.7754973,7.59119109,7.65233922,7.72743519,8.21842555,8.26941742,8.36476526,8.622546,8.55506992,8.38927962,8.36651166,8.62436824,8.77393029,8.58665737,8.56324388,8.64836411,8.66808823,8.51555027,8.38807688,8.5116039,8.54260846,8.79072094,8.50117089,8.59215875,8.59564702,8.71244312,8.8894176,8.68731485,8.79643757,8.4186494,8.57646294,8.36037777,8.68829118,8.73838769,8.36533032,8.72229293,8.88540332,8.53405326,8.75257754,8.59168772,8.51953183,8.74410963,8.84203015,8.92783166,8.58637182,8.94046667,8.81995147,8.77824047,8.96355113,8.67525268,8.39818295,8.57397706,8.62657408,8.66270412,8.65353809,8.64345522,8.91028364,8.75014736,9.07292958,8.97630681,8.74328014,8.44414809,8.64423423,8.77224172,8.39377256,8.72866632,8.72945268,8.71597724,8.56790302,8.5820765,8.73930915,8.82198365,8.85816608,8.68016996,8.57620322,8.76168335,8.59308239,8.8855839,8.6724967,8.82230334,8.90571372,8.58553518,10.94812168
0.00416524,2.95507389,2.8988361,3.00058945,3.33336102,3.41771609,4.14906475,5.41073394,4.45786506,3.34038547,2.94370578,2.61673649,2.55646135,2.54658597,2.65763879,2.74680083,2.56206488,2.73902321,2.78638177,2.89987752,2.90719811,2.88632991,2.9752009,2.84891989,2.94697805,3.10759101,3.08454544,3.05039788,3.10282703,3.2119511,3.27896175,3.30628898,3.44071052,3.51534878,3.55008066,3.96698811,4.01638986,4.32513273,4.3805561,4.64993821,4.87419148,5.24543316,5.50783343,5.70479133,5.74603228,5.71047937,5.7670989,5.87874675,5.75188375,5.56157398,5.40203352,5.41668186,5.76352661,5.58884628,5.46891776,5.74902919,5.75120762,5.99677519,6.10498369,6.19807514,6.06840091,6.51684413,6.37781957,6.46514521,6.52806461,6.57111079,6.70855239,6.48513859,6.57176926,6.67396755,6.6746259,6.57969255,6.59928974,6.50729343,6.46347579,6.44803343,6.6318901,6.76065419,6.64572992,6.52567543,6.70906246,6.59461385,6.69226812,6.79128175,6.55788052,6.60647111,6.67442541,6.71279464,6.76616188,6.48275173,6.63753287,6.72498063,6.67821114,6.48092538,6.7436855,6.85195229,7.03754436,6.77935228,6.66937558,6.77022527,6.62206707,6.62837645,6.73610137,6.86578383,6.65681675,6.53799846,6.71519091,6.7220602,6.90791741,6.76967308,6.82799929,6.79987251,6.93498445,6.75842866,6.7211602,6.59045054,6.75347027,6.81732731,6.60984513,6.76459501,6.65781413,6.86316956,6.77551976,6.68680191,6.74767866,6.7573904,6.9869528,6.79750504,6.8825132,6.93504835,6.63224354,6.74001746,6.87260275,6.77533881,6.8377847,6.69719305,6.6602072
0.00464451,2.47235369,2.60211113,2.74557268,2.85640539,3.07853377,3.75024532,4.87255755,3.88848771,2.80093242,2.32688569,2.0397015,1.93389741,2.0475618,2.00243532,1.92487804,2.01864397,2.13280811,2.04293913,2.13047111,2.05358332,2.15508697,2.20893404,2.23874457,2.06685893,2.2031209,2.10273097,2.25681983,2.26094099,2.40904735,2.39425553,2.29065928,2.48436274,2.53639363,2.68628029,2.78948481,2.77871704,3.02407872,3.20929425,3.51470379,3.68777985,3.83223648,4.12116434,4.21128223,4.11555628,4.13085731,4.39136376,4.26370133,4.2890859,4.41701158,4.27941935,4.3002999,4.43223323,4.29651655,4.47281826,4.4331693,4.75788726,4.76347667,4.91132136,5.21725862,5.19720118,5.32277344,5.25232805,5.44282731,5.44374793,5.36290475,5.50367498,5.67334059,5.43193475,5.47776794,5.45824787,5.50209761,5.51466826,5.54939711,5.33817706,5.52574755,5.51152013,5.66765779,5.48676958,5.49537499,5.57102161,5.56514525,5.58965171,5.63811339,5.64790445,5.5648332,5.60937712,5.59291616,5.5645881,5.64166242,5.53330451,5.60606048,5.71166956,5.4339667,5.46549984,5.6203641,5.65103277,5.49481924,5.59661581,5.61134826,5.48979725,5.7356048,5.54203062,5.60522438,5.53707783,5.53889959,5.66392736,5.45701095,5.60619015,5.60456776,5.65483108,5.47690334,5.66118834,5.60705655,5.71384595,5.59363774,5.46229241,5.62300051,5.74758633,5.69088993,5.724436,5.69176197,5.79233768,5.49926585,5.72663392,5.65004031,5.65102881,5.56836463,5.66168406,5.56699654,5.62969347,5.65535422,5.78129781,5.73333197,5.67002664,5.69706824,5.17490246
0.00511224,2.28258621,2.39597215,2.38354559,2.62251371,2.82467649,3.45083541,4.31353647,3.46625574,2.43604305,1.96772037,1.81604049,1.6397729,1.55482623,1.71565438,1.57443524,1.58197888,1.61597404,1.56670235,1.66097759,1.67546981,1.68367671,1.64506849,1.53168025,1.58024597,1.63266423,1.69606416,1.62206389,1.76981938,1.76246425,1.75098304,1.84938021,1.95233653,1.91260575,2.01352274,2.14872975,2.22358941,2.45451295,2.59460957,2.59699396,2.88982332,3.00272399,3.25586375,3.31519503,3.34516641,3.47103432,3.42765276,3.52762939,3.48177782,3.40382995,3.46311674,3.55846897,3.76235583,3.54703118,3.82853662,3.93471583,4.01071396,4.34582899,4.22795822,4.3953939,4.46123535,4.51722822,4.62364485,4.68145813,4.6281658,4.78690018,4.7284856,4.83151639,4.80017638,4.87201671,4.59321702,4.90414941,4.73412435,4.75538754,4.72039812,4.74134357,4.72786229,4.78159206,4.80736465,4.61887279,4.90541523,4.84932814,4.65376026,4.75877584,4.5743699,4.92460628,4.74834811,4.93217464,4.94853689,4.91864402,4.86799222,4.82091801,4.79791075,4.88875933,4.73770384,4.91486056,4.90950745,4.86141218,4.83656222,4.85444238,4.65801647,4.89763588,4.86067281,4.95278503,4.78364028,4.88067631,4.91081635,4.68120095,4.785681,4.77498968,4.86178492,4.91305519,4.88733678,4.79495398,4.85982173,4.86827131,4.79906148,4.83915962,4.83927688,4.86559357,4.91258225,4.79482614,4.85046311,4.88491212,4.87340315,4.96417466,4.89963864,4.81849413,4.91322265,4.89289973,4.80238657,4.84909639,4.72812212,4.88151269,4.95320899,4.87917789,4.84086006
0.00556298,2.07482734,2.1047211,2.25785246,2.39372303,2.54298823,3.11598106,3.8672944,3.13893064,2.21000382,1.77925448,1.516321,1.52848748,1.3953432,1.42254982,1.39565396,1.30254498,1.46650719,1.31344678,1.45718223,1.41862832,1.35470511,1.37289944,1.41141833,1.39258455,1.44430809,1.38072323,1.40139355,1.41270193,1.49778142,1.43680302,1.45755,1.5893568,1.59795667,1.68520674,1.80926083,1.85812197,2.07658505,2.20952943,2.3681506,2.421787,2.67185917,2.75988577,2.77303171,2.7163922,2.95038326,2.94309513,2.9207546,2.98411219,3.05464385,3.0106433,3.12117394,3.19190881,3.26820008,3.3140504,3.53157538,3.6102068,3.76150258,4.01978286,3.96045585,4.00803009,4.01261078,4.17921863,4.19421581,4.1613814,4.40617309,4.37238468,4.22151976,4.3049292,4.29591988,4.39863355,4.32148601,4.38842803,4.087852,4.20928512,4.28096843,4.38901836,4.32413547,4.30887372,4.26273426,4.27449097,4.26859403,4.19619433,4.36263964,4.26914489,4.32684992,4.43066752,4.43336533,4.38614861,4.15005404,4.45282064,4.20425381,4.38506007,4.2320635,4.35788904,4.4003397,4.39613028,4.28761048,4.27824185,4.43587982,4.36197596,4.21195438,4.31555975,4.39976421,4.27952678,4.24877122,4.28602875,4.43126212,4.30947601,4.37234738,4.4257227,4.37245639,4.46158074,4.39235546,4.37051452,4.26326664,4.30917825,4.32020218,4.33436994,4.28017995,4.42479196,4.31015641,4.44712979,4.25832136,4.34521593,4.41379718,4.46038213,4.32003369,4.31503228,4.37948948,4.26835891,4.40774687,4.43309906,4.40254063,4.51604667,4.33777789,5.03849299
0.0059919,1.92217714,2.04150096,2.15416137,2.2268122,2.39791775,2.95466364,3.62686417,2.88776781,2.11276796,1.61990628,1.39779663,1.27690436,1.19952439,1.20950244,1.21955707,1.16319561,1.23150649,1.20886178,1.18653036,1.18730773,1.16378221,1.20728196,1.24711723,1.21531415,1.20769568,1.18184217,1.23842475,1.25213194,1.29116863,1.30456345,1.3430681,1.35437611,1.41103849,1.46164853,1.54240152,1.6286568,1.75208666,1.8348784,1.89645598,2.17683543,2.18781591,2.30303302,2.44610231,2.61234893,2.56849186,2.59571913,2.66317073,2.64086624,2.73873774,2.77549605,2.80674867,2.913021,2.97023722,3.10110122,3.24387853,3.2638514,3.35702697,3.4423728,3.63853279,3.62808839,3.74301583,3.79201229,3.8189315,3.82764839,3.93301502,3.79449479,3.78845623,4.03495147,3.88877151,3.84078659,3.82180005,3.82846662,3.9477026,3.97926192,3.90000085,3.95880386,3.96859371,3.86204183,3.82872972,4.02884603,3.81546674,3.8673634,3.94816421,3.87519376,3.948287,3.91584299,3.97310229,4.09531377,3.95245402,3.98026106,3.98429895,4.01983077,3.83064858,4.00984368,4.01956367,4.03164986,4.03415201,3.93711306,3.95680389,3.95647014,3.94485076,4.00356784,3.97565456,3.86745243,3.98362833,3.91938524,3.91961652,4.07902859,3.92969943,4.03770843,3.82631023,3.93122879,3.9311855,3.99904691,3.84865704,3.96506788,4.11125025,4.02796074,3.96777838,4.09419788,4.05718563,3.95595653,3.84748903,4.02750644,3.97276485,4.03691252,3.9544604,3.975681,3.97777147,3.96748531,4.04764901,4.06838712,3.99705049,3.97473725,4.03928173,4.01035177
0.006401,1.78247923,1.83439663,2.00345157,2.06654926,2.29760932,2.67369431,3.30600001,2.71235449,1.89216704,1.47586544,1.35891831,1.16606048,1.05649876,1.17120509,1.14867627,1.15517617,1.09373995,1.14840885,1.04662136,1.13509424,1.13602459,1.1133697,1.06044951,1.06138817,1.10896867,1.11111791,1.11542515,1.12641112,1.19859272,1.16403227,1.20949271,1.25041639,1.31282632,1.25028624,1.4433701,1.45665145,1.58272276,1.66717032,1.81403683,1.93069423,1.95443532,2.14613149,2.18266143,2.2853277,2.20104033,2.29834216,2.43616376,2.51290371,2.56167128,2.45731704,2.56489615,2.71266583,2.70972211,2.84487792,2.88123274,3.04153647,3.0923384,3.23381339,3.3042745,3.36046989,3.4473578,3.44056937,3.56231072,3.54146862,3.51096119,3.59438164,3.47256911,3.50876216,3.57177225,3.63747453,3.48056979,3.65187227,3.57376294,3.61012318,3.54376147,3.52033975,3.54111236,3.67491954,3.55810466,3.72572047,3.59770706,3.54248366,3.57951945,3.6141288,3.73027787,3.61819448,3.6230193,3.56217759,3.68964089,3.64238453,3.65742158,3.71237949,3.74602844,3.58658459,3.84915144,3.70814824,3.66777297,3.73284222,3.5864536,3.66566258,3.6274463,3.70098311,3.80859093,3.64484909,3.66795175,3.58317211,3.68461108,3.65421636,3.67364629,3.63278646,3.59565572,3.69718139,3.79135802,3.81096239,3.58061854,3.52883986,3.73304911,3.59015814,3.67278636,3.62959206,3.59152849,3.64175693,3.79775929,3.6703712,3.71821503,3.69965043,3.65788878,3.70222995,3.78100613,3.64889104,3.61893946,3.67287701,3.65669667,3.65240614,3.7034376,3.58893012
0.00684417,1.65368739,1.74794309,1.85781739,2.0338736,2.11629969,2.59679914,3.11072917,2.59038333,1.83338718,1.43940258,1.20201241,1.18942745,1.10826024,1.09971074,0.98072454,1.02935329,1.00535842,0.98009845,0.99201952,0.95150731,0.97284537,0.98095913,1.02195709,0.9933846,1.01004477,1.00496676,1.00684024,0.99595996,0.99930633,1.05426556,1.04430964,1.08635431,1.16941172,1.16412943,1.24841981,1.28278002,1.41372456,1.47718765,1.57392812,1.70752077,1.81810549,1.90264075,1.97675001,2.12325271,2.16713311,2.18492825,2.22731177,2.33309153,2.29890958,2.32423746,2.34936931,2.47218387,2.57497327,2.64174147,2.65336641,2.84789711,2.94569815,3.05881851,3.0758688,3.09751395,3.24468552,3.23184517,3.24630447,3.25016594,3.3562815,3.25566778,3.29161368,3.30906641,3.26372929,3.25321767,3.3423724,3.27882528,3.3431375,3.34957175,3.37146831,3.36811343,3.28195252,3.32043501,3.30196653,3.3737939,3.34234795,3.36648005,3.36768727,3.30064436,3.4263993,3.31995792,3.30470846,3.3933428,3.34951525,3.39572366,3.39427068,3.41250093,3.22470589,3.32937264,3.32899948,3.42554188,3.41401062,3.37770482,3.40248432,3.39663468,3.28162913,3.38753805,3.44695726,3.39217238,3.2934318,3.3195508,3.3456455,3.43150975,3.45374343,3.33351876,3.35315771,3.48263862,3.44929151,3.55841157,3.53956525,3.37663372,3.43396625,3.32571545,3.498363,3.3826307,3.36559034,3.29462747,3.40569271,3.40364414,3.38295422,3.49708374,3.36619722,3.39130202,3.43337469,3.36604567,3.41040925,3.44936514,3.36335529,3.39176149,3.38737978,3.44725695
0.00729725,1.56456766,1.63445101,1.72958941,1.78793809,2.01952045,2.34109934,2.86745289,2.40175005,1.65732368,1.37194858,1.10341083,1.06700334,1.00165531,0.92931631,0.98541408,0.98996565,0.88611282,0.94745267,0.9041766,0.9011578,0.9529592,0.90941429,0.92267201,0.93513619,0.88372641,0.87036747,0.93019338,0.90477874,0.96730652,0.94090939,1.03016268,1.042262,1.0953926,1.1174331,1.10778317,1.20286844,1.24480239,1.38288301,1.48318483,1.60637286,1.61001026,1.77929335,1.79717817,1.91941501,1.9973049,1.99706386,2.07754259,2.10947776,2.11067174,2.13561422,2.21795769,2.30145073,2.40523063,2.48810057,2.62140985,2.64391202,2.60416473,2.81626807,2.86228508,2.99968342,3.00045317,2.92408978,3.04925256,3.09559844,3.00890601,3.02007899,2.98003931,3.14147901,3.04860671,3.01094001,3.06940906,3.02727531,2.95685528,3.01303264,3.02367064,3.15594105,3.16419644,3.07145243,3.08603818,3.04766837,3.11164849,3.07776107,3.15055567,3.12042334,3.07017285,3.15983804,3.00526028,3.08655269,3.08978258,3.11361769,3.21198577,3.15315976,3.10961686,3.06191018,3.11129824,3.17089377,3.06860679,3.08737988,3.22791497,3.07761704,3.13062407,3.1506739,3.14430756,3.16223227,3.16465992,3.20034718,3.18594373,3.12355517,3.13070431,3.23757641,3.16527857,3.27069002,3.09874934,3.17709446,3.14420328,3.09239483,3.15974671,3.14734363,3.13093674,3.16189148,3.13466745,3.16489145,3.15884515,3.25312776,3.22623512,3.15392408,3.16188782,3.14397205,3.24817119,3.12161728,3.12761615,3.13584675,3.16622896,3.24380318,3.15352739,3.29773398
