q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min,370 min,375 min,380 min,385 min,390 min,395 min,400 min,405 min,410 min,415 min,420 min,425 min,430 min,435 min,440 min,445 min,450 min,455 min,460 min,465 min,470 min,475 min,480 min,485 min,490 min,495 min,500 min,505 min,510 min,515 min,520 min,525 min,530 min,535 min,540 min,545 min,550 min,555 min,560 min,565 min,570 min,575 min,580 min,585 min,590 min,595 min,600 min,605 min,610 min,615 min,620 min,625 min
0.00327202,10.97647622,11.69394707,12.24972926,12.90607952,12.88042111,14.45109551,15.30044447,17.57909428,20.75554299,25.3256498,30.87193917,42.59192412,39.70467864,28.11994077,21.96700892,18.64664189,16.60059516,15.97014809,15.0308396,14.42696816,15.07489882,14.5552887,14.5392159,15.00394862,15.61965006,15.25752376,15.19186279,15.74196448,16.05335441,15.89090085,15.99163301,16.60139748,16.87329376,16.7724175,16.74022115,17.25309551,17.44125022,17.5184533,17.59036721,18.18210597,18.68194812,18.85443618,19.26678694,19.82141577,20.25137468,20.90782634,22.12363862,22.95737693,25.41454812,26.80512797,29.18467971,31.58852333,35.40735481,38.01134633,38.81756241,38.65715072,37.09181972,35.6291202,34.4066001,33.68367125,33.95064371,33.60012781,33.52313013,33.34777793,33.07948292,32.77916565,33.54621873,34.05389709,32.77080707,33.63629294,33.99681007,33.03686864,32.86261149,33.8202339,33.6149742,34.43185682,32.88066334,33.38509434,33.47470378,33.94435007,33.25495742,33.58548266,34.10362906,33.25920057,33.71094354,33.34914969,33.38810309,33.37034452,33.80061079,34.10307515,33.2614605,33.67054871,33.35849431,34.02572051,33.86062647,33.94879421,33.95479217,33.98959044,34.26774297,33.30831308,33.19403725,34.35744659,34.45449361,33.98303342,33.9240125,33.69193535,34.26580301,33.51106788,33.98122788,33.9212027,33.56345748,32.46745595,34.37683138,33.1371412,33.60838877,34.39959262,33.56963766,33.48871817,33.77131371,33.43314011,34.10256652,34.10736261,33.7025054,33.89177048,34.88922238
0.00371214,9.20957852,9.8098544,10.34147604,10.75862736,11.4932984,12.20297637,13.63308818,15.59478348,18.62091174,22.20441744,27.60118348,35.63836239,33.00352251,24.19524151,18.02337239,15.14766761,13.1068143,12.35194879,11.78609165,11.20654003,11.19362,11.00223321,10.65458053,10.73551555,10.88418024,10.89411429,11.03418422,11.15609894,10.91540715,11.05610432,11.30906121,11.08997129,11.28921884,11.45609597,11.67182079,11.68121777,11.54761664,11.94115265,12.14880747,12.31992526,12.72474734,12.65939844,13.08384251,13.16138165,13.92392336,14.29108064,15.3415911,16.70678038,17.32247536,19.05116579,20.83767629,23.21371127,25.1657308,27.35677965,27.8972058,27.63220442,26.1564719,25.81996827,25.25665176,25.0832971,24.98360172,25.43453908,25.14140833,24.69925944,24.95814327,24.51336532,25.48364223,25.48991573,24.3502125,25.14071739,25.42977215,25.63607325,24.8409268,24.99214346,25.18390624,25.11067634,25.11204173,25.01297736,25.2509588,25.54731132,25.26992959,25.5967874,25.08603652,24.30461861,25.64113177,25.18879983,25.14547241,24.96700745,25.04206142,25.11606371,25.13218797,25.22443535,25.06281736,24.80946195,25.05235197,25.45784458,24.95467718,25.02165541,24.90784395,25.53621944,25.00392464,25.82154288,25.51089201,25.22233774,25.78256563,25.57865637,25.97559949,25.09393665,25.50292499,25.39145316,25.14096251,24.88225763,25.2981272,25.30161856,25.59289348,25.69484456,25.1746119,25.35635736,25.39113065,25.03828029,25.20977667,25.60866259,25.56650136,25.66419103,25.38518396
0.00416524,8.32233923,8.61811101,9.03877652,9.2572133,9.72078576,10.7446899,12.06486603,13.70023583,16.34910482,19.4788203,24.10064792,30.5818655,27.98738424,20.82895874,15.7181466,12.88976455,11.20924344,10.46357918,9.49606324,9.13011598,8.61759179,8.54486063,8.28224399,8.25464517,8.03844719,7.88905022,8.23280066,8.30919455,8.14689519,8.43074204,8.33717111,8.27705998,8.41547719,8.50253684,8.60805497,8.84257843,8.7170754,8.68318812,9.02438155,8.76878737,9.01958705,9.2675819,9.57972565,9.92902053,10.25719742,10.71958389,11.2846894,12.28056861,13.33890569,14.63436733,15.86231287,17.55827889,19.60667372,20.74464769,21.48969589,21.38583006,20.67784345,20.51998912,20.05845032,20.0914741,20.17283058,20.33971012,20.40520236,20.41643523,20.5126908,20.11906156,20.73812784,20.5559839,20.05837195,20.4923094,20.60068331,20.55695216,20.05216996,20.81122075,20.67418254,20.7471419,20.83234098,20.16048449,20.50682992,20.77744144,20.74806621,20.48290788,20.27929113,20.50447255,20.62457759,20.40524807,20.48056157,20.51266166,20.78997191,20.5266019,20.61418724,20.33923132,20.55459379,20.31333539,20.57888891,20.58197977,20.79689541,20.78550921,20.69914162,20.78471276,20.50961723,21.07761519,21.01599336,20.50077886,21.05944458,20.97100928,20.87997624,20.63499609,20.57685329,20.58916698,20.88485807,20.88684987,20.94821914,20.57238637,20.77777516,20.79359572,20.81108349,20.49078965,20.8294238,20.8888619,21.25218647,20.58703517,20.6075809,20.76565665,20.992198
0.00464451,7.27378959,7.73240972,7.97782248,8.39055524,8.89008282,9.69017568,10.65091092,12.3306968,14.43148335,17.02743099,21.07951494,25.55243029,23.73011897,17.83584222,13.7797945,11.2907139,9.90902384,8.91902122,8.38006061,7.60051432,7.25129338,7.2740501,6.94084697,6.92884457,6.77631863,6.70598469,6.58198853,6.69591297,6.86487242,6.62089293,6.63781721,6.52888609,6.50303639,6.55523725,6.72682331,6.78695583,6.87159513,6.88028325,6.92927473,7.03995866,7.0685117,7.23988507,7.420327,7.57864744,8.08647603,8.36395669,8.86691483,9.59030314,10.42483841,11.37078103,12.75968322,14.25983592,15.74581211,16.67664276,17.30299474,17.31038537,17.04286643,17.15322419,16.84285029,17.39274718,17.11398107,17.2457445,17.40141728,17.28289439,17.55789405,17.12302097,17.81736654,17.62273283,17.61654292,17.54300141,17.72175287,17.78589074,17.61462581,17.59638278,17.75387728,17.87175292,17.5561842,17.28655666,17.53486563,17.58402992,17.50137711,17.46311721,17.57434731,17.58954666,17.61533116,17.51055646,17.63621798,17.56707736,17.66044287,17.58933493,17.49048169,18.00232665,17.67598979,17.42829349,17.91052177,17.78004332,17.83137735,17.71963422,17.62484265,17.62284002,17.56092706,17.74709521,17.78661629,17.636249,18.07631154,18.00060366,17.8704879,17.77269842,17.33072363,17.67473389,17.75410659,17.73229715,17.96531063,17.54524856,17.74739525,18.20345079,17.76267288,17.88864415,17.96310393,17.6808051,18.02932578,17.79588715,17.99704169,18.13585332,18.18996759
0.00511224,6.58132436,6.93384934,7.34132773,7.56953994,8.13908752,8.70689698,9.79316606,11.11962647,13.23096326,15.71235577,18.76781559,22.10881266,20.28804497,15.59649734,12.3591924,10.24000448,8.68446243,8.00339003,7.32726635,6.73403093,6.29096455,6.12029468,5.85010462,5.87608147,5.7980341,5.56165437,5.55810994,5.62552905,5.60104818,5.70985073,5.67243498,5.62390736,5.50674976,5.45134916,5.52452147,5.60153753,5.6525617,5.75178412,5.77911993,5.842861,5.81612341,5.93804747,6.10176944,6.37235078,6.60868557,6.90731388,7.45459579,8.25410776,8.79435035,9.61688007,10.81246693,12.13092758,13.30380346,14.60917107,14.75635272,15.04397651,14.54344217,14.69991161,14.79047424,15.35062433,15.51552989,15.40455548,15.4776234,15.27843334,15.49173369,15.51752909,15.42504272,15.5595986,15.48521804,15.78773219,15.38922342,15.88507889,15.52376793,15.52884058,15.70095518,15.57575672,15.44062082,15.46096075,15.54084803,15.8731512,15.61843628,15.68254793,15.41330778,15.56385396,15.71761676,15.65169908,15.6959619,15.79308552,15.86589634,15.87065863,15.8010582,15.67677409,15.6266905,15.75232459,15.4826025,15.56964332,15.79398582,15.7619975,15.54357276,15.83418956,15.5744239,15.87351697,16.06765794,15.73510875,16.03391508,15.84918293,15.91438352,15.83537687,15.76729232,15.57326099,15.87394188,15.70728835,15.94003465,15.65609296,15.87797572,15.95266391,15.87087093,15.91063184,15.72026411,15.62471366,16.00343214,15.75381627,15.8289957,15.93508942,16.37412354
0.00556298,6.04333168,6.34007315,6.62989371,6.91184121,7.33957939,7.98254153,8.91271257,10.3947892,11.90141495,13.76103267,16.38557655,19.1761887,17.69937568,14.31639891,11.06475986,9.18368614,7.99467802,7.23748418,6.52015456,6.01302521,5.91643533,5.61127695,5.42820283,5.30073152,5.0515839,5.1452516,5.02838353,4.98153273,5.02848191,4.85817802,4.93395986,4.90175057,4.85838841,4.69841531,4.83001854,4.96269459,4.84361513,4.95898825,4.96364699,5.1048641,5.13799769,5.13251074,5.42303263,5.60849465,5.85197983,6.16900955,6.55968197,6.92245374,7.43876838,8.5007707,9.19939111,10.49725593,11.35519667,12.47045731,12.98339133,13.06785101,13.23806215,13.27506874,13.50564274,13.76841025,13.85329836,13.66965616,13.88821504,13.90070527,13.88755197,14.02431687,14.23857642,14.07442064,14.01664579,14.34265601,14.06516643,14.23613388,14.17215888,14.25568998,14.17705547,14.35570413,14.19023176,14.38259003,14.33253984,14.26368787,14.40198907,14.20238898,14.28516024,14.28378974,14.24992395,14.4456937,14.20650918,14.11583003,14.51026631,14.44192895,14.32715124,14.50760226,14.18561627,14.42376328,14.36574849,14.49355801,14.2547575,14.60583879,14.29261802,14.33901304,14.35990879,14.38430527,14.32492451,14.4809889,14.83425525,14.53311602,14.58579875,14.34821914,14.25482814,14.24695843,14.36622828,14.54598655,14.53872857,14.31684385,14.12093445,14.62761928,14.56729399,14.47631401,14.64134531,14.18894475,14.56507142,14.50621868,14.47953705,14.54720966,14.64034507
0.0059919,5.55897049,5.86462577,6.1572232,6.53145445,6.98495258,7.28355696,8.33165838,9.36934028,10.97361849,12.9437833,14.75687457,16.90898967,16.01061237,12.65593157,10.30129591,8.40071859,7.36757183,6.68841285,6.19930511,5.79044927,5.41123727,5.152216,5.08575182,4.82528558,4.76800572,4.64837206,4.60650627,4.60605677,4.50810332,4.42216453,4.49472989,4.41354232,4.40749257,4.51271722,4.47929724,4.55044648,4.48503171,4.47683935,4.53420593,4.6267654,4.74587454,4.68222309,4.87311122,4.93583118,5.16094523,5.41603563,5.87109869,6.25369245,6.76235825,7.67001881,8.28616033,9.25969526,10.12282415,11.10123443,11.62737378,11.77307849,11.81745414,12.27318152,12.23333614,12.74639335,12.92207491,12.79381618,12.69246949,13.09834367,13.07694088,12.74362639,13.11891304,12.96809123,12.84414598,13.14214449,13.16616334,13.09231893,12.91408827,13.29311675,13.11364121,13.23076611,13.13671317,12.99961182,13.03118911,13.3687563,13.13239543,13.0493353,13.26466501,13.16303206,13.31666825,13.13362787,13.30538723,13.32612213,13.38501229,13.20202208,13.0089136,13.4893784,12.91592709,13.29180436,13.29836826,13.3187225,13.55414796,13.36951507,13.56992152,13.22073127,13.28161468,13.35013129,13.41032697,13.55002093,13.58346229,13.53477753,13.51542617,13.41012005,13.47573463,13.2833302,13.43465875,13.58580466,13.55683929,13.32288506,13.36700168,13.45207465,13.36187141,13.53452753,13.50447598,13.53132998,13.82835094,13.31789571,13.35160703,13.49807991,13.50683865
0.006401,5.28217318,5.59850078,5.91874461,6.06369882,6.37414685,6.95166841,7.65552503,8.90875027,10.10347055,11.64267105,13.47068278,15.37081224,14.34799633,11.52367567,9.45732473,7.74325648,6.70928604,6.40383661,5.89161628,5.42607782,5.11099326,4.83829019,4.71625733,4.49896063,4.52099344,4.2025241,4.31326754,4.22704309,4.21533061,4.22170233,4.02947979,4.1782321,4.11752296,4.05427123,3.92278986,4.04972761,4.16441809,4.09987041,4.2012622,4.19314744,4.26246084,4.26074486,4.41244223,4.62699681,4.80229201,4.97459885,5.28340684,5.91231804,6.13206886,6.69123328,7.44950374,8.33572034,9.22652363,9.79528507,10.50544533,10.95817473,11.29021746,10.96634431,11.47358792,11.87927554,11.94998873,12.02920466,11.9425652,12.07130302,12.22547,12.03797196,12.25599989,12.37083082,12.11900745,12.36039952,12.28102758,12.42783317,12.39995905,12.34496734,12.42519699,12.49133267,12.35067716,12.36833257,12.17717986,12.40020785,12.28188417,12.25662404,12.34895711,12.33764539,12.42668931,12.29463307,12.263641,12.19560898,12.42682225,12.49742427,12.13588413,12.30793756,12.36513837,12.46296169,12.433894,12.71073472,12.67414249,12.56809089,12.71075739,12.39539471,12.49795214,12.45913046,12.52820573,12.65340377,12.61663972,12.6225649,12.7918874,12.47308083,12.52403164,12.51369526,12.6228002,12.52088448,12.79408654,12.59425462,12.68341714,12.78914907,12.38232617,12.81703558,12.47692215,12.52093222,12.67569892,12.75062556,12.47180552,12.8473232,12.8014665
0.00684417,4.94089831,5.15822289,5.3575667,5.66780599,5.94735072,6.49710262,7.23848575,8.25569361,9.23135518,10.62252568,12.26747103,13.7638108,12.6770874,10.62833163,8.86839468,7.37642855,6.44378585,5.87521408,5.58520843,5.02878791,4.78018621,4.58918707,4.46118938,4.29138481,4.32146783,4.07970595,4.07833802,3.9890676,3.9731309,3.9107191,3.79463678,3.90661244,3.79695001,3.77738581,3.84263298,3.85908299,3.80795779,3.81232431,3.82172709,3.78827635,3.9351754,4.0825992,4.18770095,4.24728384,4.34762283,4.69885457,4.81913839,5.22322724,5.64799998,6.21066094,6.85071387,7.54641722,8.2653568,9.14344462,9.57712307,10.0227313,10.16595466,10.44541891,10.4703948,10.6907685,11.07341388,11.03627228,11.16097617,11.06071894,11.3371082,11.19531097,11.37228049,11.41979371,11.26136513,11.61371555,11.43878319,11.49798561,11.20013247,11.28066039,11.28455937,11.53675709,11.49536787,11.32859051,11.50188534,11.60104181,11.69897709,11.66161321,11.50664322,11.57726337,11.47724865,11.49397526,11.37289487,11.44854877,11.57605864,11.49460859,11.64924639,11.56712215,11.60728283,11.81320712,11.61816514,11.63473447,11.78496768,11.76048323,11.63848368,11.65306674,11.53914403,11.8401906,11.85956766,11.76500715,11.88791152,11.71464998,11.85832737,11.76556518,11.84034852,11.53103119,11.67760213,11.73845678,11.95606727,11.95390599,11.82520599,12.00379123,11.68877701,11.79277596,11.63928075,11.88227529,11.85720128,12.03525119,11.65664088,12.0494928,12.03177315
0.00729725,4.71115115,4.80730529,5.07890208,5.25810654,5.67427726,6.03619441,6.70892683,7.64893085,8.57678449,9.79625749,11.04747148,12.28443374,11.50729126,9.73864956,8.21408755,6.92675352,6.04930183,5.56225744,5.26098888,4.93098598,4.61810661,4.37859103,4.19063597,4.16950704,3.99740221,4.02689534,3.8717219,3.82699916,3.74530551,3.76531433,3.62404656,3.77873621,3.66045299,3.75184332,3.56965022,3.71456783,3.64210963,3.56608151,3.68542525,3.64102211,3.75388906,3.87135172,3.93810242,3.96796504,4.07093393,4.31580106,4.5772753,4.8520533,5.21237958,5.62719136,6.13695276,6.90223677,7.52103365,8.4257745,9.00073522,9.11399349,9.32999176,9.71664742,9.91260956,10.00638491,10.458763,10.28662883,10.36641748,10.49495327,10.52439648,10.56930493,10.65736106,10.694814,10.6129454,10.73440916,10.72158808,10.76758375,10.70592909,10.55571315,10.80030086,10.83855793,10.96124597,10.6198714,10.86265346,10.9557962,10.92816082,10.61994699,10.78093134,10.79645934,10.91249214,10.71189145,10.83073663,10.96156225,10.88691081,11.04551915,11.07123453,10.94169602,10.78424547,10.88736426,10.81117715,10.92272892,10.90148549,11.07579132,10.97886648,11.13838985,10.77386365,11.1213071,11.26215191,11.02759959,11.13785741,11.14266714,11.08128007,11.08980421,11.08656779,11.17332098,11.17467727,11.08313387,11.05147689,11.11565965,11.08351022,11.30142972,11.1471362,11.29132696,11.03153093,11.05134344,11.09870221,11.06970905,11.06412521,11.21593579,11.02957989
