q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min
0.00327202,3.91664627,3.9856626,4.10554474,4.04596645,3.68881927,4.02543862,4.19183427,4.23684569,4.51320843,4.39062017,4.64451562,4.42959477,4.39574986,4.45351888,4.55584628,4.61663139,4.75586769,5.06074694,5.09246812,5.57026222,5.3037829,5.51410563,6.13167775,6.43221005,6.83415361,7.06463844,6.49446783,6.33891126,6.02340133,5.26721213,5.04491279,5.0241896,4.80948929,4.57802015,4.7786713,4.05226566,4.01703781,4.43665722,4.69894299,4.53090819,4.37656433,4.61184522,4.55274594,4.85035076,4.85395066,4.81150223,5.27195629,5.21613908,5.05687603,5.0326912,5.10373772,5.15980069,5.27069553,5.1002428,5.17901009,5.23412859,5.24615564,5.76964114,5.71892155,5.14409765,5.86037077,5.54244126,5.53486514,5.71650854,5.65320197,5.57283543,5.77767254,6.05092384,6.15882988,6.35320769,6.41985636,6.0880607,6.28974401
0.00371214,3.48647587,3.34019462,3.57010216,3.40718087,3.66684537,3.58013832,3.58910394,3.59286851,3.74863928,3.86868273,3.79915252,3.96498603,3.73082961,4.07343065,3.91292307,4.0478777,4.10799314,4.52390265,4.41851389,4.76698284,4.88661066,5.00842004,5.31893989,5.90519174,5.99109517,5.89522961,5.7528691,5.38646183,5.03372353,4.64506989,4.16427635,3.83226534,3.54543154,3.31727565,3.19989241,3.08952941,2.92838887,3.22190862,3.1510646,3.27955105,3.08038978,3.18285507,3.14813158,3.2160519,3.11218961,3.39265015,3.25645928,3.24857673,3.40833572,3.51573269,3.451925,3.37667933,3.35034745,3.289856,3.56566539,3.4159201,3.42649108,3.55468705,3.54310182,3.69019852,3.50180702,3.69702805,3.54303039,3.80273591,3.7882696,3.78958893,3.59724071,3.77102046,3.87073583,4.06293972,4.14813866,4.17016859,4.10208264
0.00416524,2.89751908,2.81140093,2.99866824,2.94643338,3.11943613,3.10159365,3.13450688,3.18404048,3.19780168,3.19310414,3.27640524,3.30723004,3.26865009,3.32839983,3.5877812,3.46515281,3.4582827,3.82469534,3.83887722,3.96036856,4.07008404,4.35872351,4.7357118,5.20444217,5.44135713,5.45931821,5.19679541,4.54163516,4.27218874,3.93423459,3.37786232,3.154838,2.87738835,2.82739173,2.66405079,2.54394885,2.42806526,2.40827296,2.49491899,2.49354207,2.42946854,2.31576842,2.44431521,2.44812449,2.54323791,2.19321295,2.26715287,2.28683945,2.26927763,2.29361259,2.40805545,2.48587712,2.32675865,2.35110996,2.31970157,2.28945683,2.34704676,2.37681257,2.47414016,2.4567576,2.44939108,2.51936466,2.46974546,2.50708341,2.61325828,2.4920592,2.7721667,2.67573269,2.69053573,2.74260304,2.77025736,2.79706872,2.80346123
0.00464451,2.66664,2.62827399,2.51260467,2.58621618,2.70804744,2.6862925,2.77405833,2.94346062,2.73951718,2.91191516,2.96417835,2.91816984,2.92588407,3.17580276,3.18218532,3.18330855,3.21280009,3.33299718,3.52090492,3.61444756,3.77894262,4.10722856,4.20641139,4.73097964,5.00200867,4.80101371,4.5589384,4.21820436,3.83566528,3.40520764,3.09965891,2.83481482,2.53319691,2.36030594,2.20480714,2.12874939,2.04218178,2.12613825,1.95667679,1.97860231,1.83733926,1.86415597,1.72010445,1.86608438,1.93418698,1.91288192,1.94054313,1.82017184,1.74659463,1.75481075,1.83149177,1.8232421,1.76862905,1.87697848,1.83902577,1.85918308,1.9301311,1.94329649,1.83156712,1.84066356,1.88529239,1.96975205,1.94158312,2.01327335,1.90388042,1.97619199,1.9924761,2.05024654,2.04281401,2.05866295,2.14398597,2.21535129,2.29773827
0.00511224,2.34459807,2.35530363,2.39723103,2.40873549,2.36054865,2.50591469,2.35426264,2.53908558,2.51551424,2.53739964,2.54099473,2.72823596,2.74103932,2.73946971,2.71838129,2.92423922,2.90243129,3.04308353,3.15948396,3.35479471,3.37177497,3.64755343,3.85953422,4.24145873,4.38179533,4.34155512,4.11131695,3.69544651,3.38437774,3.01386039,2.73963773,2.52395181,2.30924228,2.03339578,1.87911548,1.83608026,1.78641694,1.60758026,1.62818592,1.67524276,1.63501483,1.52079732,1.60162317,1.61944873,1.55429892,1.5758862,1.4861699,1.40173863,1.50695278,1.47638641,1.56205246,1.41910717,1.42918375,1.49063163,1.45605966,1.48838299,1.6456533,1.46408745,1.54255466,1.4720607,1.5933317,1.55174883,1.5188156,1.53457674,1.62773701,1.484131,1.65436894,1.66259446,1.68678102,1.70354003,1.63366063,1.80896928,1.67824451
0.00556298,2.21150897,2.12009093,2.26523542,2.19071759,2.24829854,2.36921101,2.27216869,2.30588535,2.34472167,2.39479864,2.37843669,2.48414418,2.52155971,2.44638943,2.63862515,2.67139019,2.64501662,2.64403605,2.86160578,3.02915638,3.26224766,3.30911493,3.53707774,3.87721605,4.0903193,3.94899717,3.83699073,3.45541068,3.1384868,2.86286544,2.43529663,2.3604014,2.09581777,1.87319765,1.74824874,1.70947618,1.56028775,1.56729856,1.58224442,1.55490283,1.38687946,1.42615833,1.36713363,1.34377697,1.33116104,1.39633623,1.27921484,1.32160507,1.30496297,1.35359576,1.35444346,1.25100167,1.28016822,1.35266043,1.34061054,1.24763515,1.33084681,1.34016435,1.2870185,1.25733408,1.31647709,1.30787848,1.30115136,1.32606067,1.41105274,1.28544431,1.26807439,1.35768509,1.36928961,1.43978303,1.3979818,1.47032228,1.57959757
0.0059919,2.05664472,2.01637478,2.08816254,2.06684877,2.13694031,2.25591034,2.07552937,2.16358754,2.17273967,2.20481704,2.2052452,2.24473754,2.31460645,2.34618825,2.3471337,2.43179741,2.46208995,2.50102071,2.76240425,2.77963577,2.87473992,3.12616018,3.43956895,3.64107303,3.63782546,3.5984133,3.38802446,3.26898655,2.8787597,2.68791656,2.25341237,2.17078749,1.9228628,1.74656279,1.63192777,1.47773738,1.52978259,1.40204868,1.39215702,1.34096511,1.2518886,1.2673437,1.21418602,1.25545658,1.23326744,1.23404575,1.23282753,1.23832089,1.1523263,1.24195791,1.15838939,1.1420525,1.12524746,1.09031147,1.17243271,1.14704646,1.09553591,1.13627852,1.20100562,1.21691307,1.18090332,1.12358748,1.22493051,1.14089765,1.22638129,1.19424806,1.22087366,1.25279811,1.27591655,1.26504307,1.27712714,1.35203124,1.37469117
0.006401,1.88664992,1.97081119,1.96313638,1.9380886,1.98036563,1.86805153,1.91194354,2.06496626,2.11642372,2.19786235,2.02225364,2.11006578,2.11334477,2.19418494,2.2304891,2.28635875,2.36249061,2.40934493,2.61221338,2.68267953,2.72975268,2.77360861,3.17601217,3.34273954,3.37520798,3.40292095,3.17058025,2.9044202,2.66377211,2.42312861,2.20882157,1.99723423,1.76994361,1.7643207,1.58304612,1.40779909,1.3377687,1.3293724,1.33773905,1.20348393,1.23608468,1.27411422,1.17234358,1.19617906,1.12682183,1.24553407,1.1158745,1.09047975,1.09895348,1.02842137,1.07854941,1.07959821,1.03080696,1.00959622,1.0231604,1.05989051,1.0701852,1.06816858,1.01928343,1.04552354,1.09125797,1.08444557,1.07112315,1.08736545,1.09385335,1.10691531,1.06607805,1.14576074,1.11455265,1.15550163,1.16015473,1.24605383,1.247211
0.00684417,1.77229434,1.73146748,1.71772164,1.74612209,1.78677056,1.84351294,1.86428764,1.87142716,1.90262642,1.94566391,1.94307342,1.96299131,2.04054959,2.0456253,2.11706471,2.1195905,2.17574936,2.23475018,2.27772013,2.40620155,2.50188983,2.68103763,2.82030597,3.15112264,3.12967309,3.12439911,3.04326915,2.74148278,2.63908635,2.3128181,2.04711,1.88131054,1.65003826,1.55471467,1.42998627,1.29364384,1.29075265,1.26428971,1.25074124,1.20578296,1.11314537,1.13436786,1.08143411,1.12705226,0.99955515,1.11775875,1.04044999,1.02640005,1.04923496,1.01261515,1.01662911,0.86427463,0.98835995,0.92393097,0.99438804,1.01856111,0.958945,0.95665828,1.01569226,0.91744562,0.96946697,0.94995345,0.91053003,0.9934021,1.03260866,0.96417603,1.0136664,1.00473606,1.06731624,1.04764796,1.07189316,1.10461713,1.21578054
0.00729725,1.63520959,1.69325617,1.67345608,1.68388301,1.71361949,1.74078536,1.72754547,1.75009382,1.75208719,1.73862376,1.67479499,1.77055681,1.82138996,1.89121825,1.8932967,1.94983029,2.08171825,2.09316493,2.12921787,2.25505361,2.40521398,2.42725427,2.54778165,2.86691392,2.96295011,2.90677174,2.80097459,2.50241344,2.29626765,2.09096075,1.92473479,1.76870199,1.52613877,1.530386,1.35816157,1.27857716,1.22630465,1.15516522,1.17445392,1.07428808,1.03076819,1.04369427,1.0190432,1.01921073,1.00302512,0.94661964,1.00867965,0.95329386,0.86334441,0.93683063,0.87443818,0.89526249,0.91231036,0.91449924,0.92116974,0.93069469,0.85938455,0.88600451,0.91469635,0.87366022,0.93207428,0.81924078,0.86466786,0.89601513,0.96228873,0.91989327,0.92109471,0.92586255,0.97292284,1.01641951,1.02412992,1.03692327,0.95507481
