q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.00327202,3.95508818,4.17660332,5.02475959,7.1240439,5.99703995,5.81286399,6.25374045,6.46138646,6.75162682,6.94883288,7.43351247,7.81564278,8.03955365,7.98415598,8.30170057,8.2833578,8.43877318,8.33747735,8.65386697,8.35127059,8.97443525,8.96821609,9.29715849,9.43209672,9.63361343,9.67182534,10.17451921,10.84047049,11.13017352,11.29523167,12.13909988,12.31637676,13.24038381,13.71290064,13.63836068,14.72706043,15.2206764,15.76200288,16.25142107,16.28666004,16.52703213,16.17498898,16.65565663,17.03107389,16.60574769,16.3612022,17.34126817
0.00371214,3.30298807,3.51730141,4.08823308,5.71520685,4.23613666,3.99184724,3.99745987,4.13937894,4.34962123,4.40930698,4.28555139,4.66125378,4.73687674,4.81449785,4.65845936,4.91538906,4.98382599,5.18752618,5.06293995,5.10182487,5.32280795,5.39679675,5.45314735,5.60013435,5.90515048,5.8762911,6.26173022,6.23390148,6.64066897,6.90006151,7.17417474,7.41159153,7.77549812,8.23294907,8.34617794,8.88685409,9.03267732,9.36679159,9.8081521,9.76560713,9.70006575,9.90495056,9.91449904,9.83374168,9.72536479,9.84029889,9.68610484
0.00416524,2.85487986,3.08518126,3.79122794,4.89470206,3.19761504,2.66261779,2.72242028,2.82449894,2.84571422,2.85552285,2.97777781,3.07758495,3.08005435,3.08474121,3.06725038,3.21373546,3.23580728,3.34083542,3.33553177,3.48876078,3.33674787,3.48611778,3.63758151,3.72999373,3.69449789,3.83677074,4.11914706,4.17845737,4.33380248,4.59886726,4.55422903,4.78480061,5.14368225,5.2438972,5.53533915,5.8173068,6.05721016,6.06849872,6.14302326,6.30686076,6.34641778,6.31682259,6.29971444,6.23343059,6.35555082,6.53909145,7.20918211
0.00464451,2.41880685,2.64744363,3.39495927,4.34004073,2.63255698,2.25318233,2.06457789,2.07987345,2.12114912,2.07778262,2.0291832,2.08104863,2.14607496,2.29186341,2.22226463,2.22595698,2.27913873,2.24259155,2.4708616,2.35729611,2.3851424,2.43983013,2.59449709,2.54935956,2.77637277,2.81904074,2.8568947,3.00766708,2.95794465,3.26239843,3.42316567,3.56007635,3.70473268,4.00834422,3.92876654,4.16995745,4.14836512,4.39959938,4.58127927,4.58113945,4.5656949,4.53075522,4.78489621,4.73126079,4.7826859,4.94931533,5.02629389
0.00511224,2.27553134,2.45053346,3.22195055,3.95008493,2.32284257,1.79198299,1.67001744,1.60354362,1.71752594,1.70760745,1.59300175,1.6486081,1.62391038,1.68718129,1.73264912,1.64441891,1.65750852,1.7186512,1.87691198,1.75568355,1.7918141,1.78780553,1.97656223,1.95986538,2.09654235,2.10425138,2.20252697,2.23222125,2.34171492,2.43582852,2.6850493,2.75098116,2.85141897,3.02676613,3.19953024,3.24863517,3.27951205,3.48072595,3.58033277,3.59943864,3.73897336,3.70080926,3.83264295,3.81046288,3.79820573,4.0261776,4.24102086
0.00556298,2.04808121,2.24799396,2.88428371,3.59336314,2.17334077,1.56780617,1.43141423,1.38233015,1.42024374,1.36222591,1.37028058,1.41096282,1.33122868,1.32757399,1.46454355,1.3939895,1.46853004,1.46562803,1.54013286,1.47020644,1.4874181,1.50071951,1.53058074,1.57819408,1.73799674,1.72960124,1.7667183,1.848157,1.95938738,2.02554749,2.17800036,2.2362489,2.38839222,2.55004628,2.63946034,2.71728908,2.77540496,2.86484449,2.96188176,3.04546566,3.08114065,3.05698333,3.1203996,3.17307083,3.43098216,3.49739687,3.51227581
0.0059919,1.92595137,2.07917221,2.64948735,3.33883072,1.93756229,1.51497193,1.2841461,1.20739546,1.19510763,1.2330051,1.17443118,1.27820413,1.23010592,1.21671065,1.18522126,1.12626437,1.16813924,1.28229113,1.26451506,1.26807186,1.28716499,1.27941173,1.37014249,1.34779973,1.37950805,1.51071097,1.51706463,1.62705518,1.7694057,1.74717314,1.83236324,1.91362072,2.06213644,2.24041553,2.23874044,2.31832495,2.57326506,2.52594019,2.56251127,2.61758737,2.71246431,2.76009446,2.80480284,2.83479843,2.9389753,3.11818379,3.19462285
0.006401,1.79604051,1.93085457,2.41137419,3.04017213,1.77906219,1.31389127,1.20478722,1.0871525,1.11017137,1.14423453,1.0640657,1.03727454,1.12807143,1.09279504,1.09534294,1.07513247,1.10674538,1.10348158,1.06120994,1.09152691,1.1310153,1.15314982,1.2440579,1.17679289,1.30219613,1.31939,1.3965812,1.46697957,1.50025301,1.56402273,1.727028,1.64605412,1.83966302,1.95220006,1.96103907,2.06734628,2.23011651,2.29170902,2.36631483,2.37433722,2.52714447,2.47520578,2.58537652,2.6184145,2.64022117,2.75453326,2.63122314
0.00684417,1.65467324,1.82035055,2.32906463,2.97259483,1.66069052,1.22862403,1.12238973,0.98009484,1.07609747,1.00718837,0.97348968,1.02280755,1.00811723,0.95416072,0.95110188,0.93717213,0.98307854,0.95833174,0.99662447,0.98811656,1.05230301,1.04458455,1.06156737,1.07617798,1.14875781,1.13566138,1.28066353,1.27567657,1.38343764,1.45155103,1.52272822,1.57241528,1.66710356,1.73759304,1.75313713,1.94811202,2.02382348,1.99396829,2.18966718,2.17834018,2.25207895,2.27656962,2.38857275,2.32984642,2.45338195,2.63103476,2.39081839
0.00729725,1.50156167,1.63399593,2.07380203,2.67872405,1.58581576,1.15645804,1.09061569,0.96995238,0.92445056,0.90218221,0.89472196,0.88274834,0.86630443,0.8840207,0.8574612,0.84558766,0.91014939,0.92797148,0.90246578,0.91275173,0.91124208,0.93585407,1.01794825,1.04144089,1.03102225,1.05940742,1.07004486,1.19996327,1.22594489,1.20850447,1.32781512,1.45341716,1.52895207,1.58641677,1.61258143,1.78048912,1.81577082,1.87882713,1.91034403,2.00889689,1.99161232,2.09450493,2.09039143,2.1920914,2.27095037,2.35463655,2.30521162
