q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.00327202,4.37655827,3.8721404,4.17692249,4.86756229,5.14717645,6.28418139,8.10031647,9.75458234,11.22060263,13.71060309
0.00371214,3.57041868,3.560692,3.46484547,3.85038974,4.10006407,4.86702667,6.18654068,7.47508238,8.2417407,9.7250792
0.00416524,2.99911996,2.88470862,3.00596562,3.21851739,3.5651139,4.04818294,4.85386831,5.73553997,6.34383083,7.67748148
0.00464451,2.70734577,2.56138572,2.56422961,2.67182704,2.92763982,3.47330441,3.9791203,4.67251413,5.36746666,5.97506299
0.00511224,2.37458814,2.26167343,2.31537702,2.43317084,2.55804427,2.87183963,3.34267693,3.7304514,4.23250584,4.98921082
0.00556298,2.10756616,2.13171663,2.12177809,2.23057075,2.38187133,2.68243775,2.8309688,3.38056482,3.68704094,4.17982321
0.0059919,1.98418736,1.92385244,1.8306486,2.00901759,2.05939706,2.33435601,2.56936925,2.96578157,3.24182431,3.6923664
0.006401,1.80883309,1.81828632,1.71235242,1.80364129,1.87773175,2.02660111,2.37064372,2.69213297,2.92304989,3.26417649
0.00684417,1.66705765,1.61063372,1.61906994,1.68154248,1.68766472,1.8777979,2.07348641,2.43008935,2.61654865,2.88009841
0.00729725,1.53103171,1.44181409,1.4682436,1.51381213,1.63058432,1.70642189,1.95497357,2.17552572,2.30349415,2.58076487
0.0077436,1.47478644,1.34440666,1.38823178,1.44394177,1.41428722,1.63659971,1.7229062,2.01272685,2.13540149,2.41049127
0.00819084,1.3013016,1.39699419,1.28726564,1.26681752,1.34740643,1.49501384,1.61700535,1.84443885,1.98485226,2.15490135
0.00861772,1.25283167,1.21660213,1.25664717,1.25919296,1.27905159,1.34666967,1.4727487,1.69509401,1.82405593,2.05497054
0.00903628,1.23073772,1.12892455,1.15495339,1.18603012,1.2102214,1.29244044,1.4479895,1.50261839,1.71747963,1.82392288
