q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min,370 min,375 min,380 min,385 min,390 min,395 min,400 min,405 min,410 min,415 min,420 min,425 min,430 min,435 min,440 min,445 min,450 min,455 min,460 min,465 min,470 min,475 min,480 min,485 min,490 min,495 min,500 min,505 min,510 min,515 min,520 min,525 min,530 min,535 min,540 min,545 min,550 min,555 min,560 min,565 min,570 min,575 min,580 min,585 min,590 min,595 min,600 min,605 min,610 min,615 min,620 min,625 min,630 min,635 min,640 min,645 min,650 min,655 min,660 min,665 min,670 min,675 min,680 min
0.00327202,0.20655836,0.20874239,0.21132937,0.21024316,0.21181175,0.21652004,0.22829855,0.22206494,0.21855186,0.21674207,0.2156122,0.21799058,0.22068672,0.21924101,0.22155929,0.224626,0.2232247,0.22383587,0.22772631,0.22740527,0.22530638,0.22912151,0.22929356,0.22796114,0.23115704,0.22831565,0.23109901,0.23289652,0.23254541,0.22870738,0.23103714,0.23480505,0.23240788,0.23536828,0.23856851,0.24101931,0.24529683,0.24717093,0.24825245,0.25426203,0.25407897,0.26011808,0.26065028,0.26173106,0.26389521,0.26483961,0.26716309,0.269748,0.26370384,0.2618885,0.25833621,0.26052512,0.25237445,0.25166742,0.2530613,0.25220623,0.25249183,0.25585407,0.25419622,0.25464737,0.25867096,0.25350994,0.25649897,0.25549778,0.25710985,0.25828503,0.25645485,0.25899746,0.25827812,0.25691641,0.25625403,0.25580812,0.2565913,0.2559149,0.25819591,0.25973593,0.25887991,0.25712388,0.25494496,0.25554442,0.25609099,0.2577264,0.25777624,0.25535713,0.25621385,0.25704847,0.25678014,0.2608515,0.25821195,0.25965312,0.25814992,0.25931559,0.25544935,0.25736817,0.2587688,0.25969372,0.25773844,0.25942916,0.26102577,0.25754286,0.25817387,0.26025356,0.25984534,0.2603615,0.25969037,0.25708395,0.25998777,0.25809709,0.26003719,0.25938912,0.25803386,0.26092288,0.26094899,0.26000981,0.25935742,0.25804677,0.25757185,0.2586085,0.25761245,0.26094785,0.2583163,0.26004544,0.25391791,0.2598859,0.25994126,0.26145638,0.25721705,0.25920017,0.25948768,0.25910839,0.26138488,0.2608906,0.25847213,0.25968113,0.25903119,1.62235242
0.00371214,0.13242811,0.13623363,0.13729152,0.13911213,0.14109091,0.1464096,0.15307125,0.14565286,0.14217209,0.13930609,0.13881954,0.13840299,0.13867025,0.13975328,0.14041486,0.14050822,0.14147243,0.14213326,0.14145462,0.14258784,0.14183544,0.14400766,0.1439446,0.14200561,0.14444532,0.14288987,0.14543166,0.14462636,0.1457072,0.14555541,0.14643345,0.14635973,0.14898591,0.14910357,0.15000994,0.15018442,0.15447671,0.15552732,0.1599753,0.15993114,0.16226536,0.16490309,0.16631398,0.16446642,0.16628947,0.16851476,0.1686896,0.16890537,0.16606152,0.16532925,0.16355134,0.16587247,0.16199257,0.16337427,0.1622247,0.16284015,0.16336646,0.16654981,0.16690007,0.16689891,0.16870758,0.16801951,0.16761007,0.16718151,0.16917501,0.16983391,0.16855854,0.16886538,0.16908118,0.168575,0.16808568,0.16728323,0.1673545,0.16749915,0.16935816,0.16785405,0.16886942,0.16873651,0.16871152,0.17047127,0.16851085,0.16975179,0.16765462,0.1682002,0.16688424,0.16911497,0.16952196,0.16775281,0.16905993,0.17053724,0.1686395,0.16954258,0.16780352,0.16778858,0.16919673,0.17064483,0.17053548,0.16876496,0.17066503,0.16954798,0.16950656,0.17074695,0.16950908,0.16735357,0.16849426,0.16846673,0.16898013,0.16899507,0.16937103,0.17047503,0.16957378,0.17197309,0.17101483,0.16998352,0.1674411,0.1683644,0.16994844,0.16719647,0.16956059,0.1696253,0.16910938,0.16867746,0.16782864,0.16973847,0.17027007,0.17051615,0.16898849,0.16856049,0.16981175,0.16824254,0.17067965,0.16902509,0.16990821,0.17074542,0.16843685,1.24648383
0.00416523,0.08863107,0.08873122,0.08926217,0.09124637,0.09187372,0.09629714,0.10381119,0.09778323,0.09157008,0.08931474,0.08684178,0.08644408,0.08611178,0.08710124,0.08770514,0.08654875,0.08745069,0.08791158,0.08890402,0.08877141,0.0883958,0.08910862,0.08822422,0.08864697,0.09006541,0.08938388,0.08963861,0.08986147,0.09087985,0.09089125,0.0909166,0.09186748,0.09228871,0.092533,0.09538516,0.09555742,0.09750034,0.09754101,0.09921032,0.10067404,0.10284961,0.10428196,0.1052542,0.10510419,0.10496768,0.10529975,0.10650022,0.10586351,0.10443049,0.10343011,0.1032985,0.1058698,0.10431354,0.10365257,0.10515336,0.10534012,0.10673718,0.10757111,0.10812329,0.10703808,0.10969398,0.10877027,0.10957207,0.10967926,0.11028039,0.11088025,0.1095479,0.11030486,0.11067433,0.11026028,0.11002229,0.11005469,0.10915395,0.1088889,0.10913146,0.11020037,0.11120886,0.11050656,0.10938534,0.11087972,0.10971112,0.11065834,0.11121804,0.10973829,0.10990969,0.11054025,0.11081851,0.11136461,0.10935295,0.11055938,0.11109788,0.11061598,0.10902002,0.1106747,0.11132449,0.11290555,0.11116868,0.11066512,0.11115852,0.11008862,0.11023514,0.11094218,0.1118626,0.11037312,0.10984811,0.11053738,0.11083388,0.11182975,0.11138958,0.11144097,0.11125512,0.11239496,0.1111683,0.11115406,0.10990549,0.11060413,0.11155309,0.11002816,0.11114337,0.11065746,0.11142458,0.11127321,0.11013513,0.11117122,0.11126396,0.11249441,0.11115377,0.11169082,0.11213874,0.11008852,0.11119229,0.1115715,0.111102,0.11168652,0.11061072,0.7639423
0.0046445,0.07112876,0.07246437,0.07336163,0.07404446,0.07564751,0.08010575,0.0872779,0.08068528,0.073881,0.0707072,0.06827861,0.06747734,0.06811954,0.06797874,0.06740292,0.06817693,0.06882948,0.06826614,0.06912966,0.06840332,0.06896933,0.06949183,0.06965448,0.06820517,0.0695327,0.06836596,0.06988201,0.0698154,0.07115666,0.07073303,0.06986421,0.07135355,0.07170157,0.07279181,0.07375807,0.07358792,0.07538519,0.07641393,0.07852078,0.07978618,0.0807892,0.08260299,0.0830603,0.08216411,0.08231169,0.08394695,0.08364333,0.08384997,0.08431645,0.08336526,0.08332915,0.0846932,0.08335765,0.08444759,0.08415061,0.08628705,0.08637513,0.08746412,0.0893201,0.0888814,0.08983296,0.08925147,0.09066704,0.0904679,0.09032697,0.09103767,0.09187592,0.09074037,0.09087011,0.09038194,0.09086695,0.09088,0.09070545,0.08945939,0.09083835,0.09083248,0.09201332,0.09089552,0.09053164,0.09140792,0.09089894,0.09140652,0.09172073,0.09154173,0.09101741,0.09149821,0.09148117,0.09152621,0.09154482,0.09124411,0.09172803,0.09211195,0.09005492,0.09046053,0.0914306,0.09212309,0.09090029,0.09155422,0.0916072,0.09065395,0.09215615,0.09118564,0.09174574,0.09100759,0.09112649,0.09162908,0.0906535,0.09153772,0.09177615,0.09183079,0.09078801,0.09220002,0.0916469,0.09241267,0.09123976,0.09035487,0.09179192,0.09213123,0.09207939,0.09232405,0.09188189,0.09269971,0.09046316,0.09236924,0.09196799,0.0920079,0.09123206,0.0918438,0.09143296,0.09142518,0.09203412,0.09248666,0.09223834,0.09209226,0.09194684,0.62528323
0.00511223,0.06226709,0.06350984,0.06331138,0.06501746,0.0665799,0.07097824,0.07685015,0.07082269,0.06382005,0.06035508,0.05886769,0.05739436,0.05648957,0.0580328,0.05684841,0.05695458,0.05705624,0.05675749,0.05772012,0.05770696,0.05761682,0.05739409,0.05638989,0.05666212,0.05735592,0.05753819,0.05723225,0.05838139,0.0585496,0.05818832,0.05888919,0.05980838,0.05944375,0.06029945,0.06155046,0.06207784,0.06391185,0.06478226,0.06486084,0.06711568,0.0679805,0.0697431,0.0700745,0.07002014,0.07092499,0.07064422,0.07175407,0.07148137,0.07066319,0.07099252,0.07148618,0.07334922,0.07145812,0.07333343,0.07400284,0.07464535,0.07684072,0.07626807,0.07737252,0.07751463,0.07805521,0.07855514,0.07918681,0.07867504,0.07995767,0.07952014,0.08000805,0.08004886,0.0803594,0.07831203,0.08043114,0.07932974,0.07914283,0.0789075,0.07930049,0.07927974,0.07986742,0.07995001,0.0784151,0.08059336,0.07980041,0.07893874,0.07960769,0.07827526,0.08037281,0.07949207,0.08068306,0.08097333,0.08040606,0.08040523,0.08014995,0.07982945,0.07994971,0.07924747,0.08039093,0.08082466,0.08023679,0.08016056,0.08022608,0.07879596,0.08035872,0.0802459,0.0810035,0.0796434,0.08033186,0.08033881,0.079114,0.07977067,0.07992495,0.08026386,0.0805614,0.08072231,0.07994024,0.08046088,0.08007225,0.07955406,0.08024587,0.07993229,0.08032185,0.08065882,0.07969661,0.08027284,0.07996956,0.08044641,0.08103031,0.0806654,0.07989432,0.0805574,0.0805507,0.07965242,0.08037891,0.07938642,0.08034758,0.08097982,0.08025487,0.57259924
0.00556297,0.05541938,0.05600542,0.05716004,0.05815829,0.05939963,0.06369848,0.06913401,0.06361828,0.05686704,0.05342796,0.05085925,0.05097257,0.04958041,0.04999105,0.04975542,0.04892398,0.05027648,0.04895556,0.05045181,0.04998624,0.04924017,0.04948515,0.04980174,0.04951985,0.05022281,0.04931678,0.04978457,0.04982455,0.05079336,0.04999954,0.05011275,0.05137564,0.05141733,0.05220298,0.05345983,0.05381986,0.05572911,0.05665839,0.05798358,0.05851077,0.06051323,0.06115676,0.06117473,0.06051704,0.06231547,0.06227547,0.06247957,0.06298919,0.06326403,0.06286633,0.06353099,0.06448798,0.06463394,0.06497058,0.06645334,0.06712978,0.06821015,0.07012191,0.06975649,0.06981814,0.07002474,0.07098131,0.07132567,0.07095017,0.07281859,0.07251455,0.07142208,0.07216975,0.07199417,0.07234807,0.07204302,0.0724342,0.07017853,0.07094369,0.07164782,0.07241083,0.07223471,0.07206067,0.07142509,0.07187018,0.07143651,0.07126178,0.07237292,0.07158208,0.07191239,0.07277587,0.07285229,0.07271618,0.07081978,0.07306497,0.07149999,0.07250658,0.07110984,0.07211214,0.07246481,0.07286855,0.07189257,0.07188959,0.07288489,0.07219297,0.07130198,0.07208244,0.07280294,0.07173048,0.07160802,0.07167063,0.07279959,0.07203548,0.07263733,0.07280551,0.07244553,0.07332526,0.07266791,0.07264394,0.07154184,0.07173786,0.0722314,0.07201337,0.07189311,0.07287616,0.07191895,0.07300936,0.07132734,0.07238477,0.07285737,0.07318523,0.07201838,0.07206456,0.07260201,0.0715626,0.07285583,0.07278865,0.07260824,0.07352098,0.07212865,0.55725409
0.00599188,0.0514982,0.05285422,0.05372142,0.05424879,0.05573912,0.06011133,0.06519481,0.05936326,0.05347977,0.04925974,0.04693244,0.0457393,0.04480161,0.04505797,0.04516992,0.04462558,0.04517409,0.04503566,0.04495345,0.04484918,0.04447777,0.04499547,0.04536033,0.04492928,0.04506724,0.04451622,0.04534073,0.0454165,0.04598042,0.04589203,0.04618991,0.04636714,0.04688228,0.04739785,0.0483156,0.04906531,0.05026108,0.05084938,0.0514386,0.05395395,0.05410007,0.05503114,0.05614212,0.0572575,0.05694692,0.05717201,0.05806192,0.05793237,0.05846011,0.05866258,0.05878475,0.06001546,0.06006965,0.06105926,0.06206725,0.06234542,0.06306752,0.06384265,0.06528163,0.06493785,0.06592047,0.06612885,0.06655316,0.06645169,0.06744292,0.06639103,0.06625196,0.06813799,0.06702969,0.06641101,0.0664577,0.06645807,0.06699641,0.06717687,0.06686907,0.06734761,0.06762641,0.06681906,0.06627776,0.06799765,0.06616773,0.06679843,0.06736768,0.06672336,0.06716753,0.06711637,0.06757067,0.06856854,0.0672687,0.06770449,0.06778266,0.06785563,0.06619178,0.06758804,0.06773062,0.06823044,0.06797574,0.06736973,0.06747944,0.06729176,0.0672731,0.06777663,0.06774607,0.0667453,0.06761068,0.06699388,0.06717012,0.06827053,0.0674614,0.06801329,0.06653965,0.06756286,0.06735737,0.06793462,0.06653537,0.06722681,0.06862486,0.06777349,0.06756832,0.06847456,0.06801392,0.06751563,0.0663367,0.06804344,0.06769577,0.06816012,0.067374,0.06756879,0.06769682,0.06732644,0.06825188,0.06815753,0.0677076,0.06772975,0.06792471,0.494034
0.00640099,0.04813098,0.04890549,0.05034572,0.05082809,0.05285742,0.05593484,0.0609578,0.05601905,0.04944774,0.04566944,0.04431204,0.04234067,0.04102097,0.04237447,0.04214193,0.04225167,0.04145132,0.04211759,0.04116405,0.04201425,0.04189246,0.0417299,0.04112601,0.04103073,0.04174141,0.0414843,0.04177385,0.04183813,0.04276469,0.04219449,0.04259168,0.04308314,0.0436842,0.04307161,0.04515724,0.0452353,0.04651689,0.04717215,0.04858077,0.04972597,0.04997685,0.05165174,0.05190889,0.05256852,0.05188264,0.05271382,0.05420439,0.05487558,0.05504272,0.05413029,0.05488871,0.05646526,0.05608808,0.05714848,0.05738684,0.05874565,0.05916804,0.06038077,0.060931,0.06111605,0.0619043,0.06172879,0.06282631,0.06253717,0.06256252,0.06308221,0.06210407,0.0625484,0.06290741,0.06309391,0.06214884,0.06332203,0.06248123,0.06272645,0.06246818,0.06236468,0.06272005,0.06361752,0.06247891,0.06401566,0.06273023,0.06261332,0.06290967,0.06299564,0.06376781,0.06314397,0.06322658,0.06296577,0.06355176,0.06345038,0.06361281,0.06383975,0.06371553,0.06276056,0.0646754,0.06408079,0.06354026,0.06405943,0.06298372,0.06336255,0.06315799,0.0637799,0.06469678,0.06327947,0.06352487,0.06274648,0.06364238,0.06344349,0.06376219,0.06330074,0.06303287,0.06401493,0.06449443,0.06473541,0.06275022,0.06229381,0.06411922,0.06282993,0.06362573,0.06335719,0.06289298,0.06344197,0.06411146,0.06366652,0.06403524,0.0639284,0.06340075,0.06378462,0.06443436,0.06321789,0.06335713,0.0635375,0.06344614,0.06357537,0.06371989,0.46070487
0.00684414,0.03967509,0.04071739,0.04155885,0.042891,0.04358862,0.04715866,0.05085589,0.04691927,0.0414338,0.03821105,0.03585493,0.03574409,0.03483957,0.03487507,0.03370289,0.03422284,0.03385965,0.03368373,0.03390387,0.03342642,0.03353142,0.03368816,0.03405641,0.03368736,0.03401278,0.03374534,0.03394908,0.03379951,0.03396209,0.03434279,0.03418011,0.03464231,0.03540952,0.03538369,0.0362956,0.03657341,0.03780488,0.03824669,0.03912759,0.04032686,0.04128845,0.04196441,0.04250094,0.04348034,0.04384208,0.04398686,0.04459406,0.04542951,0.04497604,0.04511571,0.04519685,0.0464421,0.04687908,0.04736231,0.0474102,0.04887466,0.04957881,0.05047765,0.05061704,0.05056658,0.05168403,0.05149382,0.05177104,0.05167676,0.05257717,0.05184558,0.05200943,0.05227727,0.05188744,0.05159449,0.05232169,0.05186888,0.05205163,0.05207105,0.05240495,0.0524393,0.05204913,0.05224111,0.05186707,0.05261093,0.05211077,0.05250813,0.05252924,0.05194879,0.05272912,0.05219215,0.05212865,0.05283878,0.05228379,0.05279583,0.05283293,0.05281433,0.05127855,0.05211454,0.05215717,0.05311014,0.05283182,0.0526459,0.05278275,0.0525792,0.05188843,0.05266474,0.05318765,0.05259799,0.05202623,0.05206455,0.0523697,0.05294144,0.05323547,0.05231969,0.05243208,0.05350221,0.05312179,0.05391257,0.05348278,0.05236892,0.05306348,0.05213156,0.0534109,0.05270062,0.05242806,0.05211485,0.05249817,0.05285404,0.05273791,0.0534996,0.05245697,0.05268202,0.05303823,0.05236474,0.05294225,0.05302369,0.05249447,0.05280429,0.05259329,0.39053045
0.00729722,0.04010885,0.04101669,0.0418222,0.04227136,0.04433777,0.04697949,0.05117703,0.04725948,0.0412373,0.03867371,0.03577296,0.0353842,0.03455604,0.03388039,0.03450498,0.03459668,0.03332212,0.03407489,0.03369801,0.03357892,0.03405493,0.03363643,0.03375694,0.03380123,0.03339692,0.03301829,0.03388317,0.03354922,0.03438177,0.03392971,0.03483393,0.03500626,0.03554878,0.03580108,0.03581069,0.03675749,0.03723861,0.03847337,0.03948765,0.04071881,0.04078596,0.04231106,0.04241675,0.04330545,0.04400518,0.04401891,0.04497931,0.04527601,0.04511366,0.0452431,0.04582937,0.04683577,0.04735571,0.04800556,0.04901778,0.04929814,0.04902193,0.05076269,0.05112435,0.05194302,0.05208124,0.05142438,0.05251835,0.05273871,0.05230247,0.05232417,0.05194202,0.05327124,0.05250316,0.05201352,0.05257742,0.05222741,0.05148179,0.05187199,0.05213371,0.05314079,0.05338283,0.05265016,0.05251252,0.05251081,0.05265448,0.05265949,0.05320493,0.05285504,0.05245967,0.05324661,0.05216858,0.05288864,0.05263346,0.05302507,0.0537676,0.05322067,0.05259466,0.05239422,0.05281424,0.05355195,0.05262498,0.0528044,0.05378683,0.05254487,0.05298361,0.05320113,0.05329216,0.05320433,0.05328742,0.05340299,0.05344674,0.05301683,0.05322107,0.05384388,0.05331806,0.05428958,0.05290855,0.05356023,0.05301917,0.05255448,0.05337826,0.05305218,0.0531063,0.05336519,0.0530047,0.05338189,0.05297443,0.05403082,0.05386703,0.05336024,0.05323286,0.05315847,0.05398208,0.05284505,0.05317631,0.05307045,0.05331078,0.05398421,0.05315665,0.40079706
