q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min,240 min,245 min,250 min,255 min,260 min,265 min,270 min,275 min,280 min,285 min,290 min,295 min,300 min,305 min,310 min,315 min,320 min,325 min,330 min,335 min,340 min,345 min,350 min,355 min,360 min,365 min
0.00327202,0.20674584,0.20706087,0.20779295,0.20782353,0.20544185,0.20791485,0.20924218,0.20909318,0.21091305,0.21055956,0.2114087,0.20990389,0.21010195,0.21072629,0.21125969,0.21180921,0.21251023,0.21467475,0.21474345,0.21797737,0.21588584,0.21633777,0.2208805,0.22316649,0.2246079,0.22614884,0.2228536,0.22196662,0.22068253,0.21581289,0.21405187,0.21437931,0.21226822,0.21170624,0.21243879,0.20769958,0.20790586,0.21056181,0.21199832,0.21125892,0.2095518,0.21173438,0.21099072,0.21304379,0.21335303,0.21264483,0.21565277,0.21510161,0.21468651,0.21441385,0.21488307,0.21487109,0.21510158,0.21431691,0.21540101,0.2152344,0.2154264,0.21862819,0.21821863,0.21442817,0.21971012,0.21733813,0.21699553,0.21833296,0.21815097,0.21701727,0.21852374,0.22012057,0.22089217,0.2220772,0.22241406,0.22033295,0.28714727
0.00371214,0.13617748,0.13513354,0.13663679,0.13586349,0.13748295,0.13715061,0.13740869,0.13712842,0.13824163,0.13932699,0.1383073,0.13931531,0.13804338,0.14048856,0.13936714,0.14039095,0.14061785,0.14353442,0.14275933,0.14519596,0.1456287,0.14578603,0.14829984,0.15223297,0.15207433,0.15164242,0.15079272,0.14862731,0.14683137,0.14422256,0.14078745,0.13897162,0.1365402,0.13561531,0.13445034,0.13356346,0.13276963,0.1347654,0.13415768,0.13523299,0.1333989,0.13457003,0.13408554,0.13463492,0.13413373,0.13577926,0.13493276,0.13472444,0.13618756,0.13683292,0.13642598,0.13569216,0.13522315,0.13498149,0.13723746,0.13591175,0.13604324,0.13691358,0.13675091,0.13755536,0.13686932,0.13793034,0.13668568,0.13856597,0.1386067,0.13816994,0.13706306,0.13817931,0.1389025,0.14021115,0.14073515,0.14078694,0.18323468
0.00416523,0.08796256,0.0873554,0.08853705,0.08840278,0.08943129,0.08948623,0.08983955,0.08994373,0.09008068,0.09025152,0.09038684,0.09051445,0.09046679,0.09096582,0.09250564,0.09185707,0.0917223,0.0941013,0.09411082,0.09500014,0.09541651,0.09667614,0.09926938,0.10217596,0.10297769,0.10316915,0.1017499,0.09809142,0.09682481,0.09468937,0.09109405,0.08992857,0.08780457,0.08790636,0.08659845,0.08572189,0.08516713,0.08502352,0.08551982,0.08563981,0.08489453,0.08444333,0.08514886,0.08524946,0.08598531,0.08347978,0.08404715,0.08407315,0.08421077,0.08430482,0.08508574,0.08545612,0.0842235,0.08447279,0.08452814,0.08411504,0.08456697,0.08475359,0.08533685,0.08511533,0.0854436,0.08573127,0.08527141,0.085616,0.08640246,0.0853273,0.08724701,0.08660915,0.08675606,0.08711605,0.08725543,0.08738102,0.11484713
0.0046445,0.07225049,0.07194844,0.0711033,0.07181505,0.07259552,0.07259367,0.07333413,0.07432661,0.07295199,0.07431985,0.07434006,0.07397167,0.07419624,0.07602427,0.07600837,0.07610398,0.07618883,0.07714646,0.07831886,0.07906546,0.07991088,0.08160311,0.08258248,0.08601379,0.08719899,0.08607795,0.08465438,0.08261923,0.08047007,0.07756151,0.07533046,0.07371562,0.07128275,0.0704118,0.06905387,0.06841986,0.06793843,0.06856687,0.06722051,0.06749939,0.06616147,0.06661736,0.06538532,0.06657108,0.0671928,0.06687633,0.06713668,0.06613732,0.06577242,0.06578259,0.06638886,0.06620822,0.0656382,0.06655329,0.0664732,0.06645769,0.06703297,0.06713889,0.06623642,0.06622923,0.06687461,0.06737125,0.06704623,0.06767874,0.06691022,0.06723453,0.0674285,0.06784887,0.0678424,0.06797489,0.06859315,0.06906914,0.09252564
0.00511223,0.0625089,0.06255767,0.06285626,0.06310234,0.06269253,0.06391439,0.06287863,0.06411692,0.06398145,0.06429595,0.06401077,0.06534028,0.06559657,0.06571034,0.06548527,0.06705929,0.06681927,0.06795546,0.06872029,0.07018039,0.07011529,0.07161412,0.07335323,0.07603157,0.07650445,0.07633463,0.07488419,0.07222159,0.07038567,0.06767527,0.06554023,0.06412991,0.062227,0.06040616,0.05898222,0.05856694,0.05831246,0.0568238,0.05693735,0.05742284,0.05685376,0.05610818,0.05669044,0.05687974,0.05642909,0.05648853,0.0557602,0.05496508,0.05605034,0.05573872,0.05647907,0.05515321,0.05509815,0.05571355,0.05559323,0.05573197,0.05708756,0.05555164,0.05618124,0.05551099,0.05679981,0.05633703,0.05596173,0.05616453,0.05700923,0.05560406,0.05710818,0.05714955,0.05739388,0.05755483,0.05695098,0.05834815,0.07618294
0.00556297,0.05631872,0.05554449,0.05669904,0.05626178,0.05666567,0.05776485,0.05709196,0.05720402,0.05753505,0.05809043,0.05766906,0.05845808,0.05889089,0.05841806,0.0598602,0.06017157,0.05989386,0.06000216,0.06159037,0.06295078,0.06445002,0.06444736,0.06636222,0.068863,0.06989326,0.06902705,0.06830028,0.06574294,0.06372232,0.06160242,0.05817412,0.05775502,0.05536189,0.05380172,0.05255025,0.05215893,0.05098424,0.05104496,0.05110977,0.05096155,0.04922064,0.04977729,0.04913976,0.048968,0.0489265,0.04941244,0.04835941,0.04870521,0.04871812,0.04911723,0.0491411,0.04807568,0.04822418,0.04897199,0.04902678,0.04802014,0.04883534,0.04891696,0.04839592,0.04804925,0.04883221,0.04864386,0.04850045,0.04879651,0.04963371,0.04829921,0.04820231,0.04902496,0.04915487,0.04981913,0.049409,0.05004753,0.06854246
0.00599188,0.05244914,0.05207158,0.05267669,0.05264729,0.05318779,0.05429703,0.05288634,0.05347936,0.05359355,0.05400511,0.05372889,0.05401003,0.05472969,0.05508698,0.05504563,0.05580328,0.0559764,0.05640844,0.05840433,0.05865092,0.05921928,0.06077399,0.06334571,0.06495537,0.06458313,0.06437351,0.06289014,0.0620695,0.0593899,0.05783108,0.05417595,0.05365879,0.0512825,0.0499964,0.04879313,0.04729609,0.04791677,0.04670217,0.0465636,0.04614282,0.04507196,0.04540635,0.0447917,0.04525081,0.04509338,0.04499295,0.0450221,0.04501628,0.04430176,0.04516807,0.04434325,0.04408436,0.04380489,0.04350645,0.04449178,0.04412184,0.04361443,0.0440377,0.04466243,0.04474827,0.04460071,0.04392427,0.04487303,0.04408634,0.04500165,0.04451865,0.04483734,0.04514405,0.04540829,0.04529857,0.04541467,0.04609728,0.06247674
0.00640099,0.04888035,0.04959721,0.04950793,0.04943433,0.04976538,0.04887678,0.04936449,0.05057665,0.05104501,0.05187878,0.05011234,0.05082265,0.05098309,0.05177097,0.05204057,0.05257656,0.05314004,0.0536416,0.05524456,0.05590788,0.05611893,0.05615991,0.05951648,0.06091447,0.06080336,0.06106701,0.05938461,0.05742275,0.05573315,0.053702,0.05176784,0.05009533,0.04780438,0.04803167,0.04616886,0.04442936,0.04384458,0.04375319,0.04379961,0.04250683,0.04264739,0.04321953,0.04207702,0.04237335,0.04171889,0.04284115,0.04153329,0.0412164,0.0414546,0.04065518,0.04119654,0.04112432,0.04049728,0.04033034,0.04062638,0.04089821,0.04103474,0.04101042,0.04045539,0.04067442,0.04137469,0.04121763,0.04099869,0.0412249,0.04133567,0.04132481,0.04094683,0.0417768,0.04147654,0.0419161,0.04194991,0.04281695,0.05794856
0.00684414,0.0405083,0.04013957,0.03999961,0.04036037,0.04065351,0.04121103,0.04146638,0.04140545,0.04167807,0.04213211,0.04189648,0.04201388,0.04274439,0.04285494,0.04337675,0.04345134,0.04382442,0.04436259,0.04463554,0.04569116,0.04624867,0.04727669,0.04848514,0.05087668,0.05043954,0.05044913,0.04993451,0.04789532,0.04735473,0.04489262,0.04275971,0.04157031,0.0394686,0.03888851,0.03766642,0.03639347,0.03647357,0.03623249,0.03606117,0.03570606,0.0346734,0.03502815,0.03444518,0.034921,0.03373967,0.03479944,0.03408676,0.03390239,0.03425215,0.03385301,0.03389944,0.03230121,0.03345829,0.03286977,0.033697,0.03383291,0.0332612,0.03324164,0.03380225,0.03277828,0.03346048,0.03318745,0.03273889,0.03361073,0.03404432,0.03324683,0.03376261,0.03367181,0.03429943,0.03412368,0.03434434,0.03463036,0.04859561
0.00729722,0.04060291,0.04109571,0.04090953,0.04112524,0.04134885,0.04168329,0.04165931,0.04172421,0.04177902,0.04177802,0.04098787,0.0417937,0.04235859,0.04304153,0.04302673,0.0435726,0.04462827,0.04481457,0.04507506,0.04619746,0.04724751,0.04716832,0.0483565,0.05090273,0.05131585,0.05096187,0.05020126,0.04796201,0.04652185,0.04475187,0.04322583,0.04198994,0.03957961,0.03985416,0.03807371,0.03723894,0.03682028,0.03609353,0.03625437,0.03527209,0.03465991,0.03495225,0.0346074,0.03464352,0.03453437,0.03383872,0.03453507,0.03388675,0.03301541,0.0338017,0.03311459,0.03326528,0.03337331,0.03345446,0.0336541,0.03364953,0.03287504,0.03317312,0.0334678,0.03297226,0.0337882,0.03244947,0.03288496,0.03329831,0.03406794,0.03347712,0.03353555,0.0335755,0.03410482,0.03459114,0.03466024,0.0347694,0.04604547
