q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min,55 min,60 min,65 min,70 min,75 min,80 min,85 min,90 min,95 min,100 min,105 min,110 min,115 min,120 min,125 min,130 min,135 min,140 min,145 min,150 min,155 min,160 min,165 min,170 min,175 min,180 min,185 min,190 min,195 min,200 min,205 min,210 min,215 min,220 min,225 min,230 min,235 min
0.00327202,0.20839613,0.20964423,0.21499902,0.22744639,0.22107582,0.21944105,0.22264797,0.22333524,0.22557624,0.22624727,0.22865305,0.23169382,0.23320679,0.23319851,0.23450868,0.23369487,0.23568528,0.23505287,0.23733448,0.2346906,0.23832994,0.23811695,0.24056238,0.24098838,0.24261242,0.24253799,0.24594811,0.24832426,0.25122826,0.25140702,0.25615588,0.25690115,0.26249761,0.2648997,0.26347399,0.27042829,0.27269067,0.2749756,0.27860193,0.27768281,0.2788584,0.27684956,0.2792765,0.28146419,0.27896494,0.27805677,0.56797324
0.00371214,0.13595255,0.13730887,0.14106813,0.15121974,0.14210337,0.14015662,0.14053557,0.14111218,0.14279673,0.14287386,0.14177725,0.14469884,0.14527879,0.14599043,0.1446649,0.14584125,0.14699414,0.14824632,0.14772303,0.14741017,0.14884624,0.14919099,0.14992999,0.15059426,0.1527686,0.15243491,0.15511314,0.15415281,0.15738151,0.15847206,0.16021028,0.16148717,0.16397181,0.16656407,0.16651909,0.1703539,0.17096597,0.17254425,0.1756468,0.17470739,0.17435506,0.17528928,0.17533702,0.17508521,0.17428808,0.17510538,0.35168623
0.00416523,0.08839623,0.08979724,0.09417692,0.10052166,0.09053108,0.08686217,0.08746083,0.08789083,0.08823891,0.08808836,0.08868392,0.08964173,0.08974168,0.08987069,0.08957208,0.09020813,0.09080886,0.09143552,0.091579,0.09215856,0.09125199,0.09211378,0.09326999,0.09370318,0.09367711,0.09444102,0.09634798,0.09619066,0.09762945,0.09889125,0.09869259,0.09994775,0.10225685,0.10278935,0.10398549,0.10605091,0.10723209,0.10710817,0.10794113,0.10837454,0.10857484,0.10833847,0.10823502,0.10798275,0.10850062,0.10962011,0.23154416
0.0046445,0.07107881,0.07267871,0.07779576,0.08372265,0.07258121,0.06964116,0.06842454,0.06833906,0.06881363,0.0683234,0.06779919,0.06845727,0.06898925,0.07016572,0.06949977,0.06929973,0.07003919,0.06975554,0.07156789,0.07044489,0.07067389,0.07100909,0.07230123,0.07185496,0.07364241,0.07386015,0.07427518,0.07492556,0.07498132,0.0768387,0.07796458,0.07880902,0.07995619,0.08188805,0.08103347,0.08295685,0.0827396,0.08415229,0.08562066,0.08526596,0.08515195,0.0848708,0.08640844,0.08616811,0.08635742,0.08746939,0.1813631
0.00511223,0.06253858,0.06383405,0.06942625,0.07422802,0.06286112,0.05847106,0.05760464,0.05688702,0.05798299,0.0577524,0.05666883,0.05734939,0.05719181,0.05779783,0.05804255,0.05711894,0.05754042,0.05802615,0.05945685,0.05820198,0.05853129,0.05844898,0.06014393,0.05991449,0.06113342,0.06111866,0.06203855,0.06192747,0.06311049,0.06363188,0.0655523,0.06599545,0.06689396,0.06813354,0.06905503,0.06975944,0.06988818,0.07115836,0.07212519,0.07195992,0.07287313,0.07255317,0.07342008,0.07336547,0.07319725,0.07477623,0.15859168
0.00556297,0.05549229,0.05708322,0.06201379,0.06699797,0.05648499,0.05114081,0.05004913,0.04944379,0.04992744,0.04925698,0.04922026,0.04978819,0.04909786,0.04912484,0.05027947,0.04945762,0.05040265,0.05037507,0.05115625,0.0502987,0.05047167,0.05055533,0.05094797,0.05130336,0.05283029,0.05268997,0.05314579,0.05354984,0.05479693,0.05518489,0.05648158,0.05691464,0.05829318,0.05955046,0.05997911,0.06086974,0.0612651,0.0618126,0.06281439,0.06315394,0.06340106,0.06317531,0.06362674,0.06408644,0.06582846,0.06638843,0.13938104
0.00599188,0.05181226,0.05309276,0.05777418,0.06288364,0.05187412,0.04788762,0.04578345,0.04487762,0.0448677,0.04513117,0.04443875,0.04566536,0.04521873,0.04515909,0.0447223,0.04396772,0.04462336,0.04576474,0.04568305,0.04552582,0.04572762,0.04561724,0.0466314,0.04633581,0.04674366,0.04794422,0.04813419,0.04887548,0.05046526,0.05010976,0.0509072,0.05157993,0.05302572,0.05452387,0.05426953,0.05520427,0.05721582,0.05673296,0.05728472,0.05746258,0.05819795,0.0585216,0.05885786,0.05916851,0.05988026,0.0613119,0.13050589
0.00640099,0.04851554,0.04971338,0.05382478,0.05873102,0.04833427,0.04370616,0.04269889,0.04133136,0.04169186,0.04193647,0.040985,0.0408748,0.04186583,0.04155853,0.04148886,0.04111999,0.04168549,0.04164445,0.04127956,0.04142458,0.04185357,0.0420493,0.04311837,0.04234412,0.04373917,0.04385359,0.04473981,0.04517763,0.0457526,0.04624102,0.04782069,0.04701479,0.04894293,0.04995172,0.04981042,0.05100992,0.05236087,0.05278459,0.05365118,0.05347447,0.05472688,0.05424623,0.05514859,0.05547587,0.055578,0.05656154,0.11724531
0.00684414,0.0399104,0.0412562,0.04522302,0.04972617,0.03992736,0.03598281,0.03506718,0.03357568,0.03460614,0.03383687,0.03342408,0.03406043,0.0339359,0.03344687,0.03333083,0.03307569,0.0337238,0.03345633,0.03392175,0.03368985,0.03433827,0.03421847,0.03448656,0.03456784,0.03535539,0.03517956,0.03662599,0.03637229,0.0375682,0.03806436,0.03871577,0.03910622,0.04003085,0.04061663,0.04055086,0.04236332,0.04291388,0.04258578,0.04432398,0.04403603,0.04458855,0.04473171,0.04556609,0.04518482,0.04603438,0.04738568,0.09671169
0.00729722,0.03975222,0.04096052,0.04479991,0.049559,0.04051896,0.03618895,0.03560881,0.03421871,0.03379149,0.03345239,0.0332856,0.03329245,0.03314173,0.03339052,0.03300854,0.03275437,0.03366501,0.03385409,0.03364564,0.03359656,0.03360587,0.0338375,0.03484082,0.03502365,0.03499357,0.03526393,0.03545925,0.03660048,0.03707912,0.03677567,0.03800363,0.03920554,0.04002319,0.04055899,0.04062102,0.04235234,0.04262,0.04309171,0.0435566,0.04421361,0.04405874,0.04489239,0.04485336,0.04574952,0.04632515,0.04706911,0.09938829
0.00774356,0.03467873,0.03592745,0.03871298,0.04283826,0.03529656,0.03126859,0.03025298,0.02933063,0.02937055,0.02876682,0.02890404,0.02882395,0.02870629,0.02848862,0.02867714,0.028426,0.02899683,0.02839338,0.029355,0.02866451,0.02868865,0.02900736,0.0298091,0.02932167,0.0304647,0.03013769,0.03092129,0.03053516,0.03198144,0.03196651,0.0326296,0.03320312,0.03404133,0.03470069,0.03476968,0.03599208,0.03641223,0.03659757,0.03789137,0.03732101,0.03788024,0.0381994,0.03893908,0.03946468,0.03995371,0.0406041,0.08631291
0.00819079,0.03534464,0.03629315,0.03949412,0.04338493,0.03596592,0.0322997,0.03055221,0.03003654,0.02968671,0.02948964,0.02858354,0.0291388,0.02854784,0.02929165,0.02897137,0.02940295,0.02959062,0.02909517,0.0294914,0.0292278,0.02956743,0.02962728,0.02983846,0.02992032,0.03010368,0.03087938,0.03105973,0.03145693,0.0319537,0.03266861,0.03318969,0.03412625,0.03395153,0.03475417,0.03498881,0.03643215,0.03632562,0.03721333,0.0381226,0.03838217,0.03849718,0.03896736,0.03921804,0.03957025,0.04055407,0.04098182,0.0908331
0.00861767,0.03161364,0.03276955,0.03622483,0.0394142,0.03235862,0.02927277,0.02790301,0.02712708,0.02709868,0.02640808,0.02597491,0.02632835,0.02643894,0.0264471,0.02601252,0.02618627,0.02634793,0.02646333,0.02700371,0.02626216,0.0267006,0.02625612,0.02734625,0.02700387,0.02698244,0.02762298,0.02777912,0.02799532,0.02868518,0.02956035,0.02985401,0.0305517,0.03133725,0.03187031,0.031919,0.03252568,0.0334499,0.03365515,0.035105,0.0342351,0.0353039,0.03522655,0.03547792,0.03594079,0.03601234,0.03707077,0.08277408
0.00903622,0.03211281,0.03269083,0.03646303,0.03947716,0.03340432,0.02930233,0.02863653,0.02749835,0.02738957,0.02702462,0.0267448,0.02674677,0.02648502,0.02715611,0.026956,0.02667019,0.02650861,0.0268736,0.02630916,0.02671677,0.02728829,0.02722559,0.02754847,0.02737233,0.02777259,0.02801056,0.02869116,0.02859569,0.02892936,0.02924385,0.0298918,0.03110314,0.03118034,0.03179797,0.03173686,0.03274238,0.03359211,0.03379071,0.03414824,0.03441847,0.03535003,0.03555401,0.03599652,0.03642418,0.03678697,0.0372234,0.08347294
0.00945156,0.02963404,0.02978818,0.03256264,0.03587105,0.02989954,0.02703198,0.02610089,0.02500278,0.02472067,0.02514217,0.02434756,0.02405813,0.0243907,0.0241426,0.02433121,0.0238725,0.02447206,0.02484921,0.02442073,0.02453324,0.02453701,0.02432362,0.02443532,0.02502896,0.02517862,0.02540979,0.02545498,0.02558254,0.02637561,0.02729634,0.02663451,0.02744216,0.02796027,0.02871644,0.02942529,0.02993305,0.02998945,0.03078788,0.03136819,0.03086022,0.03185073,0.03215447,0.03261748,0.0330592,0.03331157,0.03346278,0.07642016
