q-vector,5 min,10 min,15 min,20 min,25 min,30 min,35 min,40 min,45 min,50 min
0.00327202,0.21868613,0.21529198,0.21724968,0.22280562,0.22388792,0.23241537,0.24291068,0.25339276,0.26250317,0.27708244
0.00371214,0.14308128,0.14305658,0.14228322,0.14564028,0.14687151,0.15289313,0.16089141,0.16931951,0.17429757,0.1832989
0.00416523,0.09297995,0.09223529,0.09302207,0.09487173,0.09681068,0.10047856,0.10495465,0.11039291,0.11406702,0.12161507
0.0046445,0.07638757,0.07530266,0.07525963,0.0764241,0.07802331,0.08239426,0.08543014,0.09016743,0.09469685,0.09850642
0.00511223,0.06617909,0.06528919,0.06568065,0.06696025,0.06767828,0.07053261,0.07366617,0.07658383,0.08021527,0.08535158
0.00556297,0.05861581,0.05887048,0.05874168,0.0599702,0.06100011,0.0638418,0.06466077,0.06904538,0.07143444,0.07504868
0.00599188,0.05484454,0.05431333,0.05338158,0.05532707,0.05554301,0.05833607,0.06001275,0.06340379,0.0656964,0.06923746
0.00640099,0.05102692,0.05115343,0.05006041,0.05121972,0.0516917,0.05340539,0.05621206,0.0591169,0.06114045,0.06397283
0.00684414,0.04201018,0.0415102,0.04155443,0.04231859,0.04218268,0.04409859,0.04548497,0.04845872,0.04997121,0.05200557
0.00729722,0.04205763,0.04116576,0.04140519,0.04206732,0.04302418,0.0440207,0.04605786,0.04812904,0.04932468,0.05173037
0.00774356,0.03655656,0.03534445,0.0357422,0.036445,0.03599235,0.0382562,0.03876727,0.04129849,0.04237507,0.04460592
0.00819079,0.03633054,0.03733748,0.03618671,0.03614805,0.03680896,0.038518,0.03946404,0.0416533,0.04299748,0.04453773
0.00861767,0.03314518,0.03279427,0.03317427,0.03336628,0.03339762,0.03425586,0.03523509,0.03733513,0.03852655,0.04052517
0.00903622,0.03384202,0.03276997,0.03302605,0.03352129,0.03361547,0.03467177,0.03602364,0.03662215,0.03872598,0.03974928
0.00945156,0.02953082,0.03009015,0.02933507,0.0300906,0.03025689,0.03060425,0.03175327,0.03360071,0.03527925,0.03645574
0.00990796,0.02733265,0.02690452,0.02672948,0.02734673,0.02741113,0.02777728,0.02838884,0.03026555,0.03137237,0.03316244
0.01037365,0.02616404,0.02575917,0.02597809,0.02617172,0.02615863,0.027179,0.02781858,0.02915857,0.02990927,0.03152176
0.01081903,0.02582848,0.02594495,0.02517019,0.02607793,0.02583675,0.02623381,0.02676678,0.02841539,0.02953223,0.0306815
0.01125599,0.02453652,0.02441506,0.02402519,0.02469285,0.02466096,0.02516307,0.0256399,0.02709968,0.02805344,0.02958645
0.01169877,0.02353707,0.02323786,0.02295445,0.02334728,0.02374185,0.02364772,0.02484925,0.02560863,0.02679012,0.02721255
0.01214336,0.02223712,0.02221709,0.0220009,0.02249285,0.02258451,0.0227072,0.02318927,0.02450524,0.02526511,0.02614024
0.01261425,0.02019749,0.02018126,0.02002123,0.02030106,0.02008485,0.02060058,0.02083471,0.02198083,0.02257281,0.02367203
0.01312851,0.01901058,0.0186402,0.01862688,0.01920765,0.01896384,0.01942325,0.0196075,0.02044192,0.02127274,0.02234378
0.01363621,0.01871809,0.0186652,0.0186028,0.01870625,0.01903351,0.01937625,0.01924689,0.02054456,0.02076779,0.02185879
0.01414555,0.01823491,0.01808259,0.0179004,0.01811535,0.01822305,0.01849066,0.01910263,0.01960479,0.02027537,0.02132624
0.01464353,0.01741566,0.01766001,0.01751116,0.01783185,0.01752965,0.01822211,0.01854397,0.019246,0.02000469,0.02038263
0.01515718,0.01602802,0.01610429,0.01583717,0.01638026,0.01615423,0.01669971,0.01671408,0.01745654,0.01787791,0.01903423
0.0156715,0.0150321,0.01491784,0.01474909,0.01519031,0.01510158,0.0154958,0.01552227,0.01622976,0.01670953,0.01734558
0.01620231,0.01556721,0.0153694,0.01540676,0.01553873,0.01586772,0.01580103,0.01612059,0.01644724,0.01732836,0.01769807
0.01677153,0.01378725,0.01367401,0.01373326,0.01385365,0.01380387,0.01428841,0.01435097,0.01483439,0.01526293,0.01604978
0.01732732,0.0133555,0.01340612,0.01339178,0.01373245,0.01370077,0.01406489,0.01383358,0.01442457,0.01475042,0.01533087
0.01787288,0.01364944,0.01362049,0.01372522,0.01385337,0.01394514,0.01421279,0.01425121,0.01473191,0.01526836,0.01596257
0.01841555,0.01313887,0.01306039,0.0131625,0.01344258,0.01339246,0.01349716,0.01321218,0.01378758,0.01453569,0.01515307
0.01894984,0.01239182,0.01253448,0.01270062,0.01255863,0.01275862,0.01294094,0.01299444,0.01329972,0.01384356,0.01438052
0.01948996,0.0116321,0.01157679,0.01141216,0.01174359,0.01170633,0.01197954,0.0119808,0.01245808,0.01283651,0.01324255
0.02007657,0.01156581,0.01165594,0.01179735,0.01183597,0.01170038,0.01203333,0.01203167,0.012463,0.0129091,0.01336757
0.02068736,0.0115507,0.01149482,0.01145946,0.01165793,0.01177035,0.01185791,0.01203544,0.01236195,0.01247926,0.01324157
0.0213036,0.01105253,0.01123481,0.01126225,0.011323,0.01106383,0.01140341,0.01156336,0.01184407,0.01221245,0.01259218
0.0218995,0.01068946,0.01074614,0.01073147,0.010861,0.01060098,0.01083982,0.0109062,0.01137395,0.01176314,0.01198148
0.02250474,0.00999185,0.00987531,0.00987943,0.0100336,0.00990843,0.01012641,0.01025531,0.01046359,0.01062714,0.01117961
0.02314241,0.00957909,0.0098072,0.00986256,0.00982538,0.00980279,0.00992864,0.00991758,0.01051906,0.01043999,0.01086429
0.02375742,0.00973821,0.00983816,0.00971306,0.00980051,0.00974281,0.00996315,0.01010073,0.01010482,0.01047943,0.01089568
0.02435559,0.00963831,0.00945697,0.0094799,0.00971273,0.00949337,0.00964478,0.00973097,0.01009133,0.01031681,0.01070801
0.02498771,0.00867735,0.00860015,0.00867265,0.00865829,0.00865832,0.00879632,0.00885633,0.00910578,0.00915729,0.00958468
0.0256409,0.00852538,0.00852869,0.00841466,0.00868212,0.00856107,0.00874631,0.00870924,0.00890189,0.00913389,0.00953158
0.02627318,0.00875521,0.00865125,0.00868018,0.00880794,0.00874662,0.00877352,0.00885009,0.00913136,0.00927719,0.00962963
0.02690443,0.00826546,0.00846587,0.00826459,0.00850226,0.00826533,0.00861147,0.008539,0.00877764,0.00901351,0.00928108
0.02756025,0.00797475,0.00806424,0.00795344,0.00808233,0.00811993,0.00814726,0.00823615,0.00842752,0.00849367,0.00885856
0.0282151,0.00797693,0.00800438,0.00798202,0.00818517,0.00794286,0.00825582,0.00818424,0.0083493,0.00860408,0.0086919
0.02888519,0.00836108,0.00829834,0.00822954,0.00843409,0.00838178,0.00845578,0.00849424,0.00865334,0.00889862,0.0091236
0.02955448,0.00812248,0.0082913,0.00801113,0.00816656,0.00806635,0.0084348,0.00823228,0.00850697,0.00858994,0.00881087
0.03024468,0.00879288,0.00876969,0.00870365,0.00869911,0.00869595,0.00892021,0.00885571,0.00907962,0.00927453,0.00947933
0.03095335,0.00884197,0.00891615,0.00878902,0.00905937,0.0087741,0.0089207,0.00903254,0.00927301,0.00934244,0.00968321
0.03167828,0.00933603,0.00919167,0.00920724,0.00945765,0.00937713,0.00941291,0.00937872,0.00959824,0.00979397,0.01001998
0.0324091,0.00950932,0.00974824,0.0098318,0.00992078,0.00989092,0.0099973,0.0099142,0.00998837,0.01030518,0.01041849
0.03315314,0.01036349,0.01036508,0.0103256,0.01035952,0.01033162,0.01069408,0.01059911,0.01070382,0.01099083,0.01114422
0.03391944,0.01095186,0.01067225,0.01093648,0.01100396,0.01104032,0.01108638,0.01088818,0.01119761,0.01169194,0.01160463
0.03469539,0.01143873,0.01148909,0.01133901,0.01155869,0.01150442,0.01180725,0.01145939,0.01171163,0.01207134,0.01232845
0.03548655,0.01201,0.012248,0.01192901,0.01206562,0.01197792,0.01224678,0.01254601,0.01223081,0.01259364,0.01287264
0.0362792,0.01298696,0.01311282,0.01303912,0.01332269,0.01318843,0.01328919,0.01351589,0.0134214,0.01359226,0.0137426
0.03708229,0.01376773,0.01408628,0.01416516,0.01403543,0.01411629,0.0144865,0.01437198,0.014522,0.01436196,0.01499302
0.03790986,0.01537985,0.01563058,0.01542655,0.01528515,0.01542298,0.01580238,0.01565927,0.01569712,0.01612192,0.01654137
0.03875149,0.0178575,0.01757877,0.01651442,0.01717725,0.01802416,0.01834952,0.01712352,0.01720478,0.01786494,0.01867522
0.0395822,0.02006082,0.02019232,0.01939302,0.01943641,0.02110414,0.02007726,0.02048943,0.02071517,0.02075138,0.02117654
0.04041491,0.02834097,0.02760144,0.02596037,0.02517111,0.02641702,0.02732898,0.02805818,0.02696943,0.02892145,0.02860807
0.04126428,0.03882109,0.03608249,0.03902927,0.04099694,0.03920219,0.03971838,0.03898403,0.04147291,0.0393424,0.03988249
0.04215607,0.08632165,0.05463567,0.07188226,0.10014049,0.09207546,0.08449451,0.07238716,0.08361921,0.0734082,0.08774968
0.04377114,0.01116091,0.01106916,0.01132452,0.01106322,0.01140507,0.01131759,0.01151876,0.01165088,0.01188836,0.01197224
0.04484714,0.00640527,0.00632735,0.00634539,0.00640941,0.00634205,0.00647651,0.00636032,0.00646486,0.00651699,0.0066347
